STATE,XX,Population
Alabama,AL,3475885
Alaska,AK,304067
Arizona,AZ,1787620
Arkansas,AR,1942303
California,CA,20098863
Colorado,CO,2226771
Connecticut,CT,3050693
Delaware,DE,551928
Florida,FL,6855702
Georgia,GA,4627306
Hawaii,HI,784901
Idaho,ID,719921
Illinois,IL,11184320
Indiana,IN,5228156
Iowa,IA,2846920
Kansas,KS,2265846
Kentucky,KY,3246481
Louisiana,LA,3672008
Maine,ME,1006320
Maryland,MD,3953698
Massachusetts,MA,5726676
Michigan,MI,8937196
Minnesota,MN,3833173
Mississippi,MS,2233848
Missouri,MO,4718034
Montana,MT,701573
Nebraska,NE,1496820
Nevada,NV,492396
New Hampshire,NH,746284
New Jersey,NJ,7208035
New Mexico,NM,1026664
New York,NY,18287529
North Carolina,NC,5125230
North Dakota,ND,624181
Ohio,OH,10730200
Oklahoma,OK,2585486
Oregon,OR,2110810
Pennsylvania,PA,11884314
Rhode Island,RI,957798
South Carolina,SC,2617320
South Dakota,SD,673247
Tennessee,TN,3961060
Texas,TX,11298787
Utah,UT,1067810
Vermont,VT,448327
Virginia,VA,4690742
Washington,WA,3443487
West Virginia,WV,1763331
Wisconsin,WI,4447013
Wyoming,WY,335719
