STATE,XX,Population
Alabama,AL,4062608
Alaska,AK,551947
Arizona,AZ,3677985
Arkansas,AR,2362239
California,CA,29839250
Colorado,CO,3307912
Connecticut,CT,3295669
Delaware,DE,668696
Florida,FL,13003362
Georgia,GA,6508419
Hawaii,HI,1115274
Idaho,ID,1011986
Illinois,IL,11466682
Indiana,IN,5564228
Iowa,IA,2787424
Kansas,KS,2485600
Kentucky,KY,3698969
Louisiana,LA,4238216
Maine,ME,1233223
Maryland,MD,4798622
Massachusetts,MA,6029051
Michigan,MI,9328784
Minnesota,MN,4387029
Mississippi,MS,2586443
Missouri,MO,5137804
Montana,MT,803655
Nebraska,NE,1584617
Nevada,NV,1206152
New Hampshire,NH,1113915
New Jersey,NJ,7748634
New Mexico,NM,1521779
New York,NY,18044505
North Carolina,NC,6657630
North Dakota,ND,641364
Ohio,OH,10887325
Oklahoma,OK,3157604
Oregon,OR,2853733
Pennsylvania,PA,11924710
Rhode Island,RI,1005984
South Carolina,SC,3505707
South Dakota,SD,699999
Tennessee,TN,4896641
Texas,TX,17059805
Utah,UT,1727784
Vermont,VT,564964
Virginia,VA,6216568
Washington,WA,4887941
West Virginia,WV,1801625
Wisconsin,WI,4906745
Wyoming,WY,455975
