STATE,XX,Population
Alabama,AL,5030053
Alaska,AK,736081
Arizona,AZ,7158923
Arkansas,AR,3013756
California,CA,39576757
Colorado,CO,5782171
Connecticut,CT,3608298
Delaware,DE,990837
Florida,FL,21570527
Georgia,GA,10725274
Hawaii,HI,1460137
Idaho,ID,1841377
Illinois,IL,12822739
Indiana,IN,6790280
Iowa,IA,3192406
Kansas,KS,2940865
Kentucky,KY,4509342
Louisiana,LA,4661468
Maine,ME,1363582
Maryland,MD,6185278
Massachusetts,MA,7033469
Michigan,MI,10084442
Minnesota,MN,5709752
Mississippi,MS,2963914
Missouri,MO,6160281
Montana,MT,1085407
Nebraska,NE,1963333
Nevada,NV,3108462
New Hampshire,NH,1379089
New Jersey,NJ,9294493
New Mexico,NM,2120220
New York,NY,20215751
North Carolina,NC,10453948
North Dakota,ND,779702
Ohio,OH,11808848
Oklahoma,OK,3963516
Oregon,OR,4241500
Pennsylvania,PA,13011844
Rhode Island,RI,1098163
South Carolina,SC,5124712
South Dakota,SD,887770
Tennessee,TN,6916897
Texas,TX,29183290
Utah,UT,3275252
Vermont,VT,643503
Virginia,VA,8654542
Washington,WA,7715946
West Virginia,WV,1795045
Wisconsin,WI,5897473
Wyoming,WY,577719
