STATE,XX,Population
California,CA,37253956
Texas,TX,25145561
New York,NY,19378102
Florida,FL,18801310
Illinois,IL,12830632
Pennsylvania,PA,12702379
Ohio,OH,11536504
Michigan,MI,9883640
Georgia,GA,9687653
North Carolina,NC,9535483
New Jersey,NJ,8791894
Virginia,VA,8001024
Washington,WA,6724540
Massachusetts,MA,6547629
Indiana,IN,6483802
Arizona,AZ,6392017
Tennessee,TN,6346105
Missouri,MO,5988927
Maryland,MD,5773552
Wisconsin,WI,5686986
Minnesota,MN,5303925
Colorado,CO,5029196
Alabama,AL,4779736
South Carolina,SC,4625364
Louisiana,LA,4533372
Kentucky,KY,4339367
Oregon,OR,3831074
Oklahoma,OK,3751351
Connecticut,CT,3574097
Iowa,IA,3046355
Mississippi,MS,2967297
Arkansas,AR,2915918
Kansas,KS,2853118
Utah,UT,2763885
Nevada,NV,2700551
New Mexico,NM,2059179
West Virginia,WV,1852994
Nebraska,NE,1826341
Idaho,ID,1567582
Hawaii,HI,1360301
Maine,ME,1328361
New Hampshire,NH,1316470
Rhode Island,RI,1052567
Montana,MT,989415
Delaware,DE,897934
South Dakota,SD,814180
Alaska,AK,710231
North Dakota,ND,672591
Vermont,VT,625741
Wyoming,WY,563626
