STATE,XX,Population
Alabama,AL,4 461 130
Alaska,AK, 628 933
Arizona,AZ,5 140 683
Arkansas,AR,2 679 733
California,CA,33 930 798
Colorado,CO,4 311 882
Connecticut,CT,3 409 535
Delaware,DE, 785 068
Florida,FL,16 028 890
Georgia,GA,8 206 975
Hawaii,HI,1 216 642
Idaho,ID,1 297 274
Illinois,IL,12 439 042
Indiana,IN,6 090 782
Iowa,IA,2 931 923
Kansas,KS,2 693 824
Kentucky,KY,4 049 431
Louisiana,LA,4 480 271
Maine,ME,1 277 731
Maryland,MD,5 307 886
Massachusetts,MA,6 355 568
Michigan,MI,9 955 829
Minnesota,MN,4 925 670
Mississippi,MS,2 852 927
Missouri,MO,5 606 260
Montana,MT, 905 316
Nebraska,NE,1 715 369
Nevada,NV,2 002 032
New Hampshire,NH,1 238 415
New Jersey,NJ,8 424 354
New Mexico,NM,1 823 821
New York,NY,19 004 973
North Carolina,NC,8 067 673
North Dakota,ND, 643 756
Ohio,OH,11 374 540
Oklahoma,OK,3 458 819
Oregon,OR,3 428 543
Pennsylvania,PA,12 300 670
Rhode Island,RI,1 049 662
South Carolina,SC,4 025 061
South Dakota,SD, 756 874
Tennessee,TN,5 700 037
Texas,TX,20 903 994
Utah,UT,2 236 714
Vermont,VT, 609 890
Virginia,VA,7 100 702
Washington,WA,5 908 684
West Virginia,WV,1 813 077
Wisconsin,WI,5 371 210
Wyoming,WY, 495 304
