XX,ANY,REP,DEM
AL,7,0,1
AK,1,0,0
AZ,8,0,1
AR,4,1,0
CA,53,5,0
CO,7,0,0
CT,5,0,1
DE,1,0,0
FL,25,0,3
GA,13,0,1
HI,2,0,0
ID,2,0,0
IL,19,0,2
IN,9,0,2
IA,5,0,0
KS,4,0,1
KY,6,0,1
LA,7,0,1
ME,2,0,0
MD,8,1,0
MA,10,1,0
MI,15,0,2
MN,8,0,1
MS,4,1,0
MO,9,0,1
MT,1,0,1
NE,3,0,0
NV,3,0,0
NH,2,0,0
NJ,13,1,1
NM,3,0,0
NY,29,4,0
NC,13,0,1
ND,1,0,0
OH,18,0,2
OK,5,0,1
OR,5,1,0
PA,19,0,2
RI,2,0,0
SC,6,0,1
SD,1,0,0
TN,9,1,0
TX,32,4,0
UT,3,0,1
VT,1,0,0
VA,11,0,1
WA,9,1,0
WV,3,0,0
WI,8,1,0
WY,1,0,0
