XX,ANY,REP,DEM
AL,7,0,0
AK,1,0,0
AZ,9,0,1
AR,4,0,1
CA,53,0,4
CO,7,0,1
CT,5,0,1
DE,1,0,0
FL,27,0,2
GA,14,0,1
HI,2,0,0
ID,2,0,0
IL,18,0,2
IN,9,0,1
IA,4,0,1
KS,4,0,0
KY,6,0,1
LA,6,0,1
ME,2,0,0
MD,8,0,1
MA,9,0,1
MI,14,0,1
MN,8,0,0
MS,4,0,1
MO,8,0,1
MT,1,0,1
NE,3,0,0
NV,4,0,0
NH,2,0,0
NJ,12,0,1
NM,3,0,0
NY,27,0,3
NC,13,0,2
ND,1,0,0
OH,16,0,2
OK,5,0,1
OR,5,0,1
PA,18,0,2
RI,2,0,0
SC,7,0,0
SD,1,0,0
TN,9,0,1
TX,36,0,3
UT,4,0,0
VT,1,0,0
VA,11,0,1
WA,10,0,0
WV,3,0,0
WI,8,0,1
WY,1,0,0
