XX,ANY,REP,DEM
AL,7,0,2
AK,1,0,0
AZ,9,2,1
AR,4,0,2
CA,53,17,0
CO,7,1,1
CT,5,2,0
DE,1,1,0
FL,27,2,6
GA,14,0,4
HI,2,1,0
ID,2,0,1
IL,18,4,2
IN,9,0,3
IA,4,0,2
KS,4,0,1
KY,6,0,2
LA,6,1,2
ME,2,0,1
MD,8,3,0
MA,9,3,0
MI,14,0,5
MN,8,2,0
MS,4,1,1
MO,8,1,2
MT,1,0,1
NE,3,0,0
NV,4,0,1
NH,2,0,1
NJ,12,2,3
NM,3,1,0
NY,27,6,3
NC,13,0,5
ND,1,0,0
OH,16,1,5
OK,5,0,2
OR,5,2,0
PA,18,0,6
RI,2,0,0
SC,7,0,2
SD,1,0,1
TN,9,0,3
TX,36,3,8
UT,4,0,1
VT,1,0,0
VA,11,0,4
WA,10,2,1
WV,3,0,1
WI,8,1,2
WY,1,0,0
