XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,580372.571429,10,406260.800000,0.453284,4,0.118145,5,0.046716
AK,1,551947.000000,2,275973.500000,0.365124,0,0.365124,1,0.134876
AZ,6,612997.500000,9,408665.000000,0.385573,1,0.218906,3,0.052239
AR,4,590559.750000,6,393706.500000,0.474072,2,0.025928,3,0.025928
CA,52,573831.730769,71,420271.126761,0.490312,27,0.028919,35,0.002646
CO,6,551318.666667,8,413489.000000,0.367594,2,0.034260,3,0.007406
CT,6,549278.166667,8,411958.625000,0.451666,3,0.048334,4,0.048334
DE,1,668696.000000,2,334348.000000,0.272971,0,0.272971,1,0.227029
FL,23,565363.565217,31,419463.290323,0.417282,8,0.069456,13,0.002073
GA,11,591674.454545,16,406776.187500,0.454781,3,0.182054,7,0.017281
HI,2,557637.000000,3,371758.000000,0.647138,2,0.352862,2,0.019529
ID,2,505993.000000,3,337328.666667,0.350465,0,0.350465,1,0.017132
IL,20,573334.100000,27,424691.925926,0.476515,10,0.023485,13,0.004967
IN,10,556422.800000,13,428017.538462,0.432699,4,0.032699,6,0.028839
IA,5,557484.800000,7,398203.428571,0.421023,0,0.421023,2,0.135309
KS,4,621400.000000,6,414266.666667,0.364901,0,0.364901,2,0.031568
KY,6,616494.833333,9,410996.555556,0.412217,2,0.078883,4,0.032228
LA,7,605459.428571,10,423821.600000,0.459136,3,0.030564,5,0.040864
ME,2,616611.500000,3,411074.333333,0.502040,1,0.002040,2,0.164626
MD,8,599827.750000,11,436238.363636,0.492466,4,0.007534,5,0.037920
MA,10,602905.100000,14,430646.500000,0.619767,8,0.180233,9,0.023090
MI,16,583049.000000,22,424035.636364,0.480689,9,0.081811,11,0.019311
MN,8,548378.625000,10,438702.900000,0.510675,6,0.239325,6,0.089325
MS,5,517288.600000,6,431073.833333,0.580260,4,0.219740,4,0.086407
MO,9,570867.111111,12,428150.333333,0.517164,6,0.149503,6,0.017164
MT,1,803655.000000,2,401827.500000,0.535392,1,0.464608,1,0.035392
NE,3,528205.666667,4,396154.250000,0.357212,0,0.357212,1,0.107212
NV,2,603076.000000,3,402050.666667,0.389385,0,0.389385,1,0.056051
NH,2,556957.500000,3,371305.000000,0.393193,0,0.393193,1,0.059859
NJ,13,596048.769231,19,407822.842105,0.444807,5,0.060191,8,0.023754
NM,3,507259.666667,4,380444.750000,0.415805,1,0.082472,2,0.084195
NY,31,582080.806452,43,419639.651163,0.492026,17,0.056361,21,0.003654
NC,12,554802.500000,16,416101.875000,0.435594,4,0.102261,7,0.001906
ND,1,641364.000000,2,320682.000000,0.537417,1,0.462583,1,0.037417
OH,19,573017.105263,26,418743.269231,0.434135,6,0.118346,11,0.011058
OK,6,526267.333333,8,394700.500000,0.437050,1,0.270383,3,0.062050
OR,5,570746.600000,7,407676.142857,0.564600,3,0.035400,4,0.006829
PA,21,567843.333333,28,425882.500000,0.494145,11,0.029665,14,0.005855
RI,2,502992.000000,3,335328.000000,0.612712,2,0.387288,2,0.053955
SC,6,584284.500000,8,438213.375000,0.408468,2,0.075135,3,0.033468
SD,1,699999.000000,2,349999.500000,0.620272,1,0.379728,1,0.120272
TN,9,544071.222222,12,408053.416667,0.465280,4,0.020836,6,0.034720
TX,30,568660.166667,41,416092.804878,0.458057,18,0.141943,19,0.005357
UT,3,575928.000000,4,431946.000000,0.461335,1,0.128001,2,0.038665
VT,1,564964.000000,2,282482.000000,0.260712,0,,0,0.260712
VA,11,565142.545455,15,414437.866667,0.467620,6,0.077835,7,0.000953
WA,9,543104.555556,12,407328.416667,0.491979,2,0.269756,5,0.075312
WV,3,600541.666667,4,450406.250000,0.661399,3,0.338601,3,0.088601
WI,9,545193.888889,12,408895.416667,0.419342,3,0.086009,5,0.002676
WY,1,455975.000000,2,227987.500000,0.436899,0,0.436899,1,0.063101
