XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,496555.000000,10,347588.500000,0.562376,4,0.009053,6,0.037624
AK,1,304067.000000,2,152033.500000,0.259215,0,0.259215,1,0.240785
AZ,4,446905.000000,5,357524.000000,0.476006,2,0.023994,2,0.076006
AR,4,485575.750000,6,323717.166667,0.418254,2,0.081746,3,0.081746
CA,43,467415.418605,58,346532.120690,0.467294,22,0.044334,27,0.001776
CO,5,445354.200000,6,371128.500000,0.449424,3,0.150576,3,0.050576
CT,6,508448.833333,9,338965.888889,0.520622,4,0.146045,5,0.034934
DE,1,551928.000000,2,275964.000000,0.377679,0,0.377679,1,0.122321
FL,15,457046.800000,20,342785.100000,0.562416,11,0.170917,11,0.012416
GA,10,462730.600000,13,355946.615385,0.673406,9,0.226594,9,0.018902
HI,2,392450.500000,3,261633.666667,0.870316,2,0.129684,3,0.129684
ID,2,359960.500000,3,239973.666667,0.438593,0,0.438593,1,0.105260
IL,24,466013.333333,32,349510.000000,0.458682,10,0.042015,15,0.010068
IN,11,475286.909091,15,348543.733333,0.497056,6,0.048398,7,0.030390
IA,6,474486.666667,8,355865.000000,0.513290,3,0.013290,4,0.013290
KS,5,453169.200000,7,323692.285714,0.435111,1,0.235111,3,0.006539
KY,7,463783.000000,9,360720.111111,0.520698,4,0.050731,5,0.034858
LA,8,459001.000000,11,333818.909091,0.459542,6,0.290458,6,0.085913
ME,2,503160.000000,3,335440.000000,0.268747,0,0.268747,1,0.064587
MD,8,494212.250000,11,359427.090909,0.617206,7,0.257794,7,0.019158
MA,12,477223.000000,17,336863.294118,0.599692,10,0.233642,10,0.011456
MI,19,470378.736842,26,343738.307692,0.532329,12,0.099250,14,0.006132
MN,8,479146.625000,11,348470.272727,0.478511,3,0.103511,5,0.023966
MS,5,446769.600000,7,319121.142857,0.550132,4,0.249868,4,0.021296
MO,10,471803.400000,14,337002.428571,0.541342,6,0.058658,8,0.030086
MT,2,350786.500000,3,233857.666667,0.520575,1,0.020575,2,0.146092
NE,3,498940.000000,4,374205.000000,0.270573,0,0.270573,1,0.020573
NV,1,492396.000000,2,246198.000000,0.723287,1,0.276713,1,0.223287
NH,2,373142.000000,3,248761.333333,0.487032,1,0.012968,1,0.153699
NJ,15,480535.666667,21,343239.761905,0.490153,8,0.043181,10,0.013962
NM,2,513332.000000,3,342221.333333,0.484199,0,0.484199,1,0.150866
NY,39,468911.000000,53,345047.716981,0.493847,22,0.070255,26,0.003281
NC,11,465930.000000,15,341682.000000,0.537325,7,0.099039,8,0.003991
ND,1,624181.000000,2,312090.500000,0.571666,1,0.428334,1,0.071666
OH,23,466530.434783,31,346135.483871,0.438521,10,0.003739,14,0.013091
OK,6,430914.333333,8,323185.750000,0.560632,5,0.272701,5,0.064368
OR,4,527702.500000,6,351801.666667,0.599505,3,0.150495,4,0.067161
PA,25,475372.560000,34,349538.647059,0.492396,11,0.034062,16,0.007547
RI,2,478899.000000,3,319266.000000,0.552796,1,0.052796,2,0.113870
SC,6,436220.000000,8,327165.000000,0.502559,2,0.169226,4,0.002559
SD,2,336623.500000,3,224415.666667,0.542583,1,0.042583,2,0.124083
TN,8,495132.500000,12,330088.333333,0.551009,5,0.073991,7,0.032324
TX,24,470782.791667,33,342387.484848,0.533967,19,0.257700,19,0.041790
UT,2,533905.000000,3,355936.666667,0.397702,0,0.397702,1,0.064369
VT,1,448327.000000,2,224163.500000,0.262486,0,0.262486,1,0.237514
VA,10,469074.200000,14,335053.000000,0.373564,1,0.273564,5,0.016422
WA,7,491926.714286,10,344348.700000,0.507246,5,0.207040,5,0.007246
WV,4,440832.750000,5,352666.200000,0.570090,2,0.070090,3,0.029910
WI,9,494112.555556,13,342077.923077,0.503879,5,0.051676,7,0.034582
WY,1,335719.000000,2,167859.500000,0.314309,0,0.314309,1,0.185691
