XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,580372.571429,10,406260.800000,0.455095,2,0.169381,5,0.044905
AK,1,551947.000000,2,275973.500000,0.380061,0,0.380061,1,0.119939
AZ,6,612997.500000,9,408665.000000,0.392316,1,0.225649,4,0.052129
AR,4,590559.750000,6,393706.500000,0.458161,2,0.041839,3,0.041839
CA,52,573831.730769,71,420271.126761,0.519701,29,0.037991,37,0.001425
CO,6,551318.666667,8,413489.000000,0.417379,2,0.084045,3,0.042379
CT,6,549278.166667,8,411958.625000,0.549169,4,0.117498,4,0.049169
DE,1,668696.000000,2,334348.000000,0.283030,0,0.283030,1,0.216970
FL,23,565363.565217,31,419463.290323,0.442757,8,0.094931,14,0.008856
GA,11,591674.454545,16,406776.187500,0.458687,3,0.185960,7,0.021187
HI,2,557637.000000,3,371758.000000,0.590638,2,0.409362,2,0.076028
ID,2,505993.000000,3,337328.666667,0.400245,0,0.400245,1,0.066912
IL,20,573334.100000,27,424691.925926,0.547044,10,0.047044,15,0.008512
IN,10,556422.800000,13,428017.538462,0.456336,4,0.056336,6,0.005202
IA,5,557484.800000,7,398203.428571,0.450479,1,0.250479,3,0.021908
KS,4,621400.000000,6,414266.666667,0.414366,0,0.414366,2,0.081033
KY,6,616494.833333,9,410996.555556,0.433476,1,0.266809,4,0.010969
LA,7,605459.428571,10,423821.600000,0.478475,2,0.192761,5,0.021525
ME,2,616611.500000,3,411074.333333,0.642256,2,0.357744,2,0.024411
MD,8,599827.750000,11,436238.363636,0.534932,4,0.034932,6,0.010522
MA,10,602905.100000,14,430646.500000,0.646980,10,0.353020,10,0.067305
MI,16,583049.000000,22,424035.636364,0.536754,10,0.088246,12,0.008701
MN,8,548378.625000,10,438702.900000,0.558907,6,0.191093,6,0.041093
MS,5,517288.600000,6,431073.833333,0.447489,2,0.047489,3,0.052511
MO,9,570867.111111,12,428150.333333,0.572590,5,0.017034,7,0.010744
MT,1,803655.000000,2,401827.500000,0.451540,0,0.451540,1,0.048460
NE,3,528205.666667,4,396154.250000,0.312349,0,0.312349,1,0.062349
NV,2,603076.000000,3,402050.666667,0.409917,0,0.409917,1,0.076584
NH,2,556957.500000,3,371305.000000,0.472650,0,0.472650,1,0.139316
NJ,13,596048.769231,19,407822.842105,0.491432,6,0.029893,9,0.017747
NM,3,507259.666667,4,380444.750000,0.509569,0,0.509569,1,0.259569
NY,31,582080.806452,43,419639.651163,0.561501,18,0.019144,24,0.003361
NC,12,554802.500000,16,416101.875000,0.458836,6,0.041164,7,0.021336
ND,1,641364.000000,2,320682.000000,0.560246,1,0.439754,1,0.060246
OH,19,573017.105263,26,418743.269231,0.467429,8,0.046376,12,0.005890
OK,6,526267.333333,8,394700.500000,0.373202,0,0.373202,2,0.123202
OR,5,570746.600000,7,407676.142857,0.563380,4,0.236620,4,0.008049
PA,21,567843.333333,28,425882.500000,0.519106,11,0.004703,15,0.016608
RI,2,502992.000000,3,335328.000000,0.690876,2,0.309124,2,0.024210
SC,6,584284.500000,8,438213.375000,0.437273,2,0.103940,3,0.062273
SD,1,699999.000000,2,349999.500000,0.390753,0,0.390753,1,0.109247
TN,9,544071.222222,12,408053.416667,0.490942,4,0.046497,6,0.009058
TX,30,568660.166667,41,416092.804878,0.462718,17,0.103949,19,0.000697
UT,3,575928.000000,4,431946.000000,0.406259,0,0.406259,1,0.156259
VT,1,564964.000000,2,282482.000000,0.223021,0,,0,0.223021
VA,11,565142.545455,15,414437.866667,0.502053,6,0.043401,8,0.031280
WA,9,543104.555556,12,407328.416667,0.525360,3,0.192027,6,0.025360
WV,3,600541.666667,4,450406.250000,0.683940,3,0.316060,3,0.066060
WI,9,545193.888889,12,408895.416667,0.474570,5,0.080986,6,0.025430
WY,1,455975.000000,2,227987.500000,0.424948,0,0.424948,1,0.075052
