XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.320694,1,0.177836,718579.000000,9,3,0.012640,558894.777778
AK,2,0.549637,1,0.049637,368040.500000,2,1,0.049637,368040.500000
AZ,9,0.434037,3,0.100704,795435.888889,13,6,0.027502,550686.384615
AR,5,0.312463,0,0.312463,602751.200000,6,1,0.145796,502292.666667
CA,47,0.607018,40,0.244046,842058.659574,67,41,0.004922,590697.865672
CO,8,0.565069,5,0.059931,722771.375000,11,6,0.019615,525651.909091
CT,5,0.578193,5,0.421807,721659.600000,7,5,0.136093,515471.142857
DE,2,0.563507,1,0.063507,495418.500000,3,2,0.103159,330279.000000
FL,26,0.413812,8,0.106119,829635.653846,37,15,0.008406,582987.216216
GA,13,0.476940,5,0.092325,825021.076923,19,9,0.003256,564488.105263
HI,3,0.686674,2,0.020007,486712.333333,3,2,0.020007,486712.333333
ID,3,0.314041,0,0.314041,613792.333333,4,1,0.064041,460344.250000
IL,16,0.552486,14,0.322514,801421.187500,22,14,0.083878,582851.772727
IN,9,0.392557,2,0.170335,754475.555556,12,5,0.024109,565856.666667
IA,5,0.437144,0,0.437144,638481.200000,6,1,0.270477,532067.666667
KS,4,0.427507,1,0.177507,735216.250000,6,3,0.072493,490144.166667
KY,6,0.339922,1,0.173255,751557.000000,9,3,0.006589,501038.000000
LA,6,0.337518,1,0.170851,776911.333333,9,3,0.004184,517940.888889
ME,3,0.582905,2,0.083761,454527.333333,3,2,0.083761,454527.333333
MD,8,0.651617,7,0.223383,773159.750000,11,7,0.015254,562298.000000
MA,9,0.673496,9,0.326504,781496.555556,13,9,0.018812,541036.076923
MI,13,0.511849,7,0.026612,775726.307692,18,9,0.011849,560246.777778
MN,8,0.510130,4,0.010130,713719.000000,10,5,0.010130,570975.200000
MS,4,0.356047,1,0.106047,740978.500000,6,2,0.022713,493985.666667
MO,8,0.393689,2,0.143689,770035.125000,11,4,0.030052,560025.545455
MT,2,0.393102,0,0.393102,542703.500000,3,1,0.059769,361802.333333
NE,3,0.362323,0,0.362323,654444.333333,4,1,0.112323,490833.250000
NV,5,0.482555,3,0.117445,621692.400000,6,3,0.017445,518077.000000
NH,3,0.549623,2,0.117043,459696.333333,3,2,0.117043,459696.333333
NJ,12,0.548510,9,0.201490,774541.083333,16,9,0.013990,580905.812500
NM,3,0.550647,3,0.449353,706740.000000,5,3,0.049353,424044.000000
NY,24,0.552072,15,0.072928,842322.958333,35,19,0.009215,577592.885714
NC,13,0.478447,7,0.060014,804149.846154,18,9,0.021553,580774.888889
ND,2,0.349176,0,0.349176,389851.000000,2,0,0.349176,389851.000000
OH,15,0.435714,5,0.102381,787256.533333,21,9,0.007143,562326.095238
OK,6,0.319416,0,0.319416,660586.000000,8,2,0.069416,495439.500000
OR,6,0.543099,4,0.123568,706916.666667,8,4,0.043099,530187.500000
PA,16,0.485059,9,0.077441,813240.250000,23,11,0.006798,565732.347826
RI,2,0.573522,2,0.426478,549081.500000,3,2,0.093145,366054.333333
SC,7,0.387561,1,0.244704,732101.714286,10,4,0.012439,512471.200000
SD,2,0.299999,0,0.299999,443885.000000,3,1,0.033334,295923.333333
TN,9,0.346098,1,0.234987,768544.111111,12,4,0.012765,576408.083333
TX,35,0.429494,13,0.058066,833808.285714,49,21,0.000923,595577.346939
UT,5,0.337687,0,0.337687,655050.400000,6,1,0.171021,545875.333333
VT,2,0.692429,1,0.192429,321751.500000,2,1,0.192429,321751.500000
VA,11,0.518167,6,0.027288,786776.545455,15,8,0.015167,576969.466667
WA,10,0.581237,8,0.218763,771594.600000,14,8,0.009808,551139.000000
WV,3,0.324242,0,0.324242,598348.333333,4,1,0.074242,448761.250000
WI,8,0.444079,2,0.194079,737184.125000,11,5,0.010467,536133.909091
WY,2,0.263296,0,0.263296,288859.500000,2,0,0.263296,288859.500000
