XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,637304.285714,10,446113.000000,0.458278,2,0.172564,5,0.041722
AK,1,628933.000000,1,628933.000000,0.188273,0,0.188273,0,0.188273
AZ,8,642585.375000,11,467334.818182,0.409109,2,0.159109,5,0.045437
AR,4,669933.250000,6,446622.166667,0.567575,3,0.182425,3,0.067575
CA,53,640203.735849,72,471261.083333,0.534821,33,0.087820,39,0.006845
CO,7,615983.142857,9,479098.000000,0.439091,2,0.153377,4,0.005353
CT,5,681907.000000,7,487076.428571,0.522079,2,0.122079,4,0.049350
DE,1,785068.000000,2,392534.000000,0.270420,0,0.270420,1,0.229580
FL,25,641155.600000,34,471437.941176,0.435008,7,0.155008,15,0.006168
GA,13,631305.769231,17,482763.235294,0.421841,5,0.037226,7,0.010076
HI,2,608321.000000,3,405547.333333,0.665672,2,0.334328,2,0.000995
ID,2,648637.000000,3,432424.666667,0.350007,0,0.350007,1,0.016674
IL,19,654686.421053,27,460705.259259,0.513957,9,0.040272,14,0.004562
IN,9,676753.555556,13,468521.692308,0.432447,3,0.099114,6,0.029091
IA,5,586384.600000,6,488653.833333,0.453581,1,0.253581,2,0.120248
KS,4,673456.000000,6,448970.666667,0.389043,1,0.139043,2,0.055710
KY,6,674905.166667,9,449936.777778,0.364680,2,0.031347,3,0.031347
LA,7,640038.714286,10,448027.100000,0.445546,2,0.159832,4,0.045546
ME,2,638865.500000,3,425910.333333,0.584530,2,0.415470,2,0.082137
MD,8,663485.750000,11,482535.090909,0.545662,6,0.204338,6,0.000208
MA,10,635556.800000,14,453969.142857,0.690304,10,0.309696,10,0.023982
MI,15,663721.933333,21,474087.095238,0.488654,6,0.088654,10,0.012463
MN,8,615708.750000,11,447788.181818,0.516051,4,0.016051,6,0.029403
MS,4,713231.750000,6,475487.833333,0.485842,2,0.014158,3,0.014158
MO,9,622917.777778,12,467188.333333,0.456826,4,0.012382,5,0.040160
MT,1,905316.000000,2,452658.000000,0.335780,0,0.335780,1,0.164220
NE,3,571789.666667,4,428842.250000,0.310367,0,0.310367,1,0.060367
NV,3,667344.000000,4,500508.000000,0.362427,1,0.029094,1,0.112427
NH,2,619207.500000,3,412805.000000,0.408415,0,0.408415,1,0.075081
NJ,13,648027.230769,18,468019.666667,0.510916,7,0.027546,9,0.010916
NM,3,607940.333333,4,455955.250000,0.534737,1,0.201404,2,0.034737
NY,29,655343.896552,40,475124.325000,0.541170,19,0.114003,22,0.008830
NC,13,620590.230769,17,474569.000000,0.474558,6,0.013020,8,0.003970
ND,1,643756.000000,1,643756.000000,0.524057,1,0.475943,1,0.475943
OH,18,631918.888889,24,473939.166667,0.438289,6,0.104955,11,0.020045
OK,5,691763.800000,7,494117.000000,0.454410,1,0.254410,3,0.025838
OR,5,685708.600000,7,489791.857143,0.561332,4,0.238668,4,0.010096
PA,19,647403.684211,26,473102.692308,0.458796,7,0.090375,12,0.002743
RI,2,524831.000000,2,524831.000000,0.698157,2,0.301843,2,0.301843
SC,6,670843.500000,9,447229.000000,0.426602,2,0.093269,4,0.017842
SD,1,756874.000000,2,378437.000000,0.460321,0,0.460321,1,0.039679
TN,9,633337.444444,12,475003.083333,0.482193,5,0.073362,6,0.017807
TX,32,653249.812500,45,464533.200000,0.470332,17,0.060918,21,0.003665
UT,3,745571.333333,5,447342.800000,0.407446,1,0.074113,2,0.007446
VT,1,609890.000000,1,609890.000000,0.000000,0,,0,
VA,11,645518.363636,15,473380.133333,0.404260,3,0.131533,6,0.004260
WA,9,656520.444444,13,454514.153846,0.538105,6,0.128562,7,0.000356
WV,3,604359.000000,4,453269.250000,0.590650,2,0.076016,2,0.090650
WI,8,671401.250000,11,488291.818182,0.474917,4,0.025083,5,0.020371
WY,1,495304.000000,1,495304.000000,0.374374,0,0.374374,0,0.374374
