XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.386292,1,0.243435,686140.285714,9,3,0.052959,533664.666667
AK,1,0.309172,0,0.309172,721523.000000,1,0,0.309172,721523.000000
AZ,9,0.458095,5,0.097461,712522.222222,12,5,0.041428,534391.666667
AR,4,0.376302,0,0.376302,731557.250000,6,2,0.042969,487704.833333
CA,53,0.589966,38,0.127015,704565.830189,73,43,0.000925,511534.095890
CO,7,0.498644,3,0.070073,720704.285714,10,5,0.001356,504493.000000
CT,5,0.643209,5,0.356791,716325.600000,7,5,0.071077,511661.142857
DE,1,0.658255,1,0.341745,900877.000000,2,1,0.158255,450438.500000
FL,27,0.470459,10,0.100089,700028.629630,37,17,0.010999,510831.702703
GA,14,0.450309,5,0.093166,694826.142857,19,9,0.023376,511977.157895
HI,2,0.674513,2,0.325487,683431.000000,3,2,0.007846,455620.666667
ID,2,0.338633,0,0.338633,786749.500000,3,1,0.005300,524499.666667
IL,18,0.554113,12,0.112554,714687.777778,25,14,0.005887,514575.200000
IN,9,0.458063,2,0.235841,722398.000000,13,6,0.003475,500121.692308
IA,4,0.515305,2,0.015305,763446.750000,6,3,0.015305,508964.500000
KS,4,0.338253,0,0.338253,715953.250000,6,2,0.004919,477302.166667
KY,6,0.399891,1,0.233224,725101.000000,8,3,0.024891,543825.750000
LA,6,0.354574,1,0.187907,758993.666667,9,3,0.021240,505995.777778
ME,2,0.616631,2,0.383369,666537.000000,3,2,0.050036,444358.000000
MD,8,0.654604,7,0.220396,723741.125000,11,7,0.018240,526357.181818
MA,9,0.673499,9,0.326501,728849.333333,13,9,0.018809,504588.000000
MI,14,0.527315,5,0.170172,707973.285714,19,10,0.000999,521664.526316
MN,8,0.563249,5,0.061751,664359.875000,10,6,0.036751,531487.900000
MS,4,0.421175,1,0.171175,744560.000000,6,3,0.078825,496373.333333
MO,8,0.433408,2,0.183408,751434.750000,12,5,0.016742,500956.500000
MT,1,0.445126,0,0.445126,994416.000000,2,1,0.054874,497208.000000
NE,3,0.357584,0,0.357584,610608.333333,4,1,0.107584,457956.250000
NV,4,0.497843,2,0.002157,677358.000000,5,2,0.097843,541886.400000
NH,2,0.522442,2,0.477558,660722.500000,3,2,0.144225,440481.666667
NJ,12,0.556437,6,0.056437,733958.416667,17,9,0.027025,518088.294118
NM,3,0.551551,2,0.115116,689091.000000,4,2,0.051551,516818.250000
NY,27,0.685521,21,0.092257,719298.333333,38,26,0.001310,511080.394737
NC,13,0.509320,4,0.201628,735829.307692,19,10,0.016995,503462.157895
ND,1,0.431717,0,0.431717,675905.000000,1,0,0.431717,675905.000000
OH,16,0.479712,4,0.229712,723030.937500,23,11,0.001451,502978.043478
OK,5,0.323805,0,0.323805,752976.400000,7,2,0.038090,537840.285714
OR,5,0.582443,4,0.217557,769721.200000,8,5,0.042557,481075.750000
PA,18,0.507583,5,0.229805,707494.722222,25,12,0.027583,509396.200000
RI,2,0.589650,2,0.410350,527623.500000,2,2,0.410350,527623.500000
SC,7,0.416161,1,0.273304,663710.714286,9,3,0.082828,516219.444444
SD,1,0.425503,0,0.425503,819761.000000,2,1,0.074497,409880.500000
TN,9,0.389976,2,0.167754,708381.222222,12,5,0.026690,531285.916667
TX,36,0.423813,12,0.090479,701900.500000,49,21,0.004759,515682.000000
UT,4,0.333589,1,0.083589,692691.250000,5,2,0.066411,554153.000000
VT,1,0.755406,1,0.244594,630337.000000,1,1,0.244594,630337.000000
VA,11,0.490396,3,0.217669,730703.272727,16,8,0.009604,502358.500000
WA,10,0.544438,6,0.055562,675336.900000,13,7,0.005977,519489.923077
WV,3,0.400872,1,0.067539,619938.333333,4,2,0.099128,464953.750000
WI,8,0.507555,3,0.132555,712278.750000,11,6,0.037899,518020.909091
WY,1,0.256994,0,0.256994,568300.000000,1,0,0.256994,568300.000000
