XX,n,POWER,n',POWER'
AL,7,496555.000000,10,347588.500000
AK,1,304067.000000,2,152033.500000
AZ,4,446905.000000,5,357524.000000
AR,4,485575.750000,6,323717.166667
CA,43,467415.418605,58,346532.120690
CO,5,445354.200000,6,371128.500000
CT,6,508448.833333,9,338965.888889
DE,1,551928.000000,2,275964.000000
FL,15,457046.800000,20,342785.100000
GA,10,462730.600000,13,355946.615385
HI,2,392450.500000,3,261633.666667
ID,2,359960.500000,3,239973.666667
IL,24,466013.333333,32,349510.000000
IN,11,475286.909091,15,348543.733333
IA,6,474486.666667,8,355865.000000
KS,5,453169.200000,7,323692.285714
KY,7,463783.000000,9,360720.111111
LA,8,459001.000000,11,333818.909091
ME,2,503160.000000,3,335440.000000
MD,8,494212.250000,11,359427.090909
MA,12,477223.000000,17,336863.294118
MI,19,470378.736842,26,343738.307692
MN,8,479146.625000,11,348470.272727
MS,5,446769.600000,7,319121.142857
MO,10,471803.400000,14,337002.428571
MT,2,350786.500000,3,233857.666667
NE,3,498940.000000,4,374205.000000
NV,1,492396.000000,2,246198.000000
NH,2,373142.000000,3,248761.333333
NJ,15,480535.666667,21,343239.761905
NM,2,513332.000000,3,342221.333333
NY,39,468911.000000,53,345047.716981
NC,11,465930.000000,15,341682.000000
ND,1,624181.000000,2,312090.500000
OH,23,466530.434783,31,346135.483871
OK,6,430914.333333,8,323185.750000
OR,4,527702.500000,6,351801.666667
PA,25,475372.560000,34,349538.647059
RI,2,478899.000000,3,319266.000000
SC,6,436220.000000,8,327165.000000
SD,2,336623.500000,3,224415.666667
TN,8,495132.500000,12,330088.333333
TX,24,470782.791667,33,342387.484848
UT,2,533905.000000,3,355936.666667
VT,1,448327.000000,2,224163.500000
VA,10,469074.200000,14,335053.000000
WA,7,491926.714286,10,344348.700000
WV,4,440832.750000,5,352666.200000
WI,9,494112.555556,13,342077.923077
WY,1,335719.000000,2,167859.500000
