HOUSE SEAT,PRIORITY VALUE,STATE,STATE SEAT
51,14212042,CA,2
52,12931236,NY,2
53,8403479,PA,2
54,8205326,CA,3
55,7989449,TX,2
56,7908509,IL,2
57,7587397,OH,2
58,7465852,NY,3
59,6319552,MI,2
60,5802042,CA,4
61,5279155,NY,4
62,5096850,NJ,2
63,4851751,PA,3
64,4847713,FL,2
65,4612710,TX,3
66,4565980,IL,3
67,4494242,CA,5
68,4380586,OH,3
69,4089216,NY,5
70,4049371,MA,2
71,3696865,IN,2
72,3669534,CA,6
73,3648595,MI,3
74,3624085,NC,2
75,3430706,PA,4
76,3338831,NY,6
77,3336154,MO,2
78,3316855,VA,2
79,3271999,GA,2
80,3261679,TX,4
81,3228635,IL,4
82,3144513,WI,2
83,3101322,CA,7
84,3097542,OH,4
85,2942668,NJ,3
86,2821827,NY,7
87,2800892,TN,2
88,2798829,FL,3
89,2795687,MD,2
90,2710463,MN,2
91,2685824,CA,8
92,2657413,PA,5
93,2596502,LA,2
94,2579946,MI,4
95,2526486,TX,5
96,2500890,IL,5
97,2457822,AL,2
98,2443774,NY,8
99,2434913,WA,2
100,2399346,OH,5
101,2368674,CA,9
102,2337906,MA,3
103,2295609,KY,2
104,2169769,PA,6
105,2157166,CT,2
106,2155206,NY,9
107,2134386,IN,3
108,2118606,CA,10
109,2092366,NC,3
110,2080780,NJ,4
111,2062867,TX,6
112,2041968,IL,6
113,2013076,IA,2
114,1998418,MI,5
115,1979071,FL,4
116,1959058,OH,6
117,1927675,NY,10
118,1926129,MO,3
119,1916351,CA,11
120,1914987,VA,3
121,1889090,GA,3
122,1850725,SC,2
123,1833789,PA,7
124,1828215,OK,2
125,1815485,WI,3
126,1749381,CA,12
127,1743647,NY,11
128,1743441,TX,7
129,1725778,IL,7
130,1655706,OH,7
131,1653149,MA,4
132,1631701,MI,6
133,1617096,TN,3
134,1614090,MD,3
135,1611766,NJ,5
136,1609197,CA,13
137,1602195,KS,2
138,1591725,NY,12
139,1588108,PA,8
140,1579569,MS,2
141,1574565,CO,2
142,1564886,MN,3
143,1532982,FL,5
144,1509864,TX,8
145,1509239,IN,4
146,1499091,LA,3
147,1494568,IL,8
148,1492568,OR,2
149,1489827,CA,14
150,1479526,NC,4
151,1464174,NY,13
152,1433883,OH,8
153,1419024,AL,3
154,1405798,WA,3
155,1400580,PA,9
156,1386953,CA,15
157,1379039,MI,7
158,1373416,AR,2
159,1361979,MO,4
160,1355562,NY,14
161,1354101,VA,4
162,1335788,GA,4
163,1331575,TX,9
164,1325370,KY,3
165,1318085,IL,9
166,1316001,NJ,6
167,1297376,CA,16
168,1283742,WI,4
169,1280524,MA,5
170,1264566,OH,9
171,1264038,AZ,2
172,1261959,NY,15
173,1252717,PA,10
174,1251674,FL,6
175,1246863,WV,2
