XX,n,POWER,n',POWER'
AL,7,686140.285714,9,533664.666667
AK,1,721523.000000,2,360761.500000
AZ,9,712522.222222,12,534391.666667
AR,4,731557.250000,6,487704.833333
CA,53,704565.830189,72,518638.736111
CO,7,720704.285714,10,504493.000000
CT,5,716325.600000,7,511661.142857
DE,1,900877.000000,2,450438.500000
FL,27,700028.629630,36,525021.472222
GA,14,694826.142857,19,511977.157895
HI,2,683431.000000,3,455620.666667
ID,2,786749.500000,3,524499.666667
IL,18,714687.777778,25,514575.200000
IN,9,722398.000000,13,500121.692308
IA,4,763446.750000,6,508964.500000
KS,4,715953.250000,6,477302.166667
KY,6,725101.000000,8,543825.750000
LA,6,758993.666667,9,505995.777778
ME,2,666537.000000,3,444358.000000
MD,8,723741.125000,11,526357.181818
MA,9,728849.333333,13,504588.000000
MI,14,707973.285714,19,521664.526316
MN,8,664359.875000,10,531487.900000
MS,4,744560.000000,6,496373.333333
MO,8,751434.750000,12,500956.500000
MT,1,994416.000000,2,497208.000000
NE,3,610608.333333,4,457956.250000
NV,4,677358.000000,5,541886.400000
NH,2,660722.500000,3,440481.666667
NJ,12,733958.416667,17,518088.294118
NM,3,689091.000000,4,516818.250000
NY,27,719298.333333,37,524893.378378
NC,13,735829.307692,18,531432.277778
ND,1,675905.000000,2,337952.500000
OH,16,723030.937500,22,525840.681818
OK,5,752976.400000,7,537840.285714
OR,5,769721.200000,7,549800.857143
PA,18,707494.722222,24,530621.041667
RI,2,527623.500000,3,351749.000000
SC,7,663710.714286,9,516219.444444
SD,1,819761.000000,2,409880.500000
TN,9,708381.222222,12,531285.916667
TX,36,701900.500000,49,515682.000000
UT,4,692691.250000,5,554153.000000
VT,1,630337.000000,2,315168.500000
VA,11,730703.272727,15,535849.066667
WA,10,675336.900000,13,519489.923077
WV,3,619938.333333,4,464953.750000
WI,8,712278.750000,11,518020.909091
WY,1,568300.000000,2,284150.000000
