XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,555723.000000,10,389006.100000,0.598450,5,0.115836,6,0.001550
AK,1,400481.000000,2,200240.500000,0.373454,0,0.373454,1,0.126546
AZ,5,543573.200000,7,388266.571429,0.357259,1,0.157259,3,0.071312
AR,4,571378.250000,6,380918.833333,0.597300,2,0.097300,4,0.069366
CA,45,525968.044444,62,381751.000000,0.531284,27,0.068716,33,0.000974
CO,6,481472.333333,8,361104.250000,0.491763,3,0.008237,4,0.008237
CT,6,517929.333333,8,388447.000000,0.493846,3,0.006154,4,0.006154
DE,1,595225.000000,2,297612.500000,0.675166,1,0.324834,1,0.175166
FL,19,512631.157895,26,374615.076923,0.489925,8,0.068872,13,0.010075
GA,10,546426.500000,14,390304.642857,0.640188,9,0.259812,9,0.002669
HI,2,482500.000000,3,321666.666667,0.591774,1,0.091774,2,0.074893
ID,2,471967.500000,3,314645.000000,0.493574,1,0.006426,1,0.160241
IL,22,519020.954545,30,380615.366667,0.530720,14,0.105644,16,0.002613
IN,10,549017.900000,14,392155.642857,0.517429,7,0.182571,7,0.017429
IA,6,485564.500000,8,364173.375000,0.488858,2,0.155525,4,0.011142
KS,5,472641.600000,6,393868.000000,0.435483,2,0.035483,3,0.064517
KY,7,523061.857143,10,366143.300000,0.480751,4,0.090678,5,0.019249
LA,8,525496.500000,11,382179.272727,0.459264,4,0.040736,5,0.004719
ME,2,562330.000000,3,374886.666667,0.498180,1,0.001820,1,0.164847
MD,8,527055.750000,11,383313.272727,0.593468,6,0.156532,7,0.042896
MA,11,521548.818182,15,382469.133333,0.665115,10,0.243975,10,0.001551
MI,18,514352.444444,24,385764.333333,0.531404,11,0.079707,13,0.010263
MN,8,509643.500000,11,370649.818182,0.586573,5,0.038427,6,0.041118
MS,5,504127.600000,7,360091.142857,0.663606,5,0.336394,5,0.050680
MO,9,546382.666667,13,378264.923077,0.557995,5,0.002439,7,0.019533
MT,2,393345.000000,3,262230.000000,0.529403,1,0.029403,2,0.137264
NE,3,523335.333333,4,392501.500000,0.350285,1,0.016951,1,0.100285
NV,2,399592.000000,3,266394.666667,0.525792,1,0.025792,2,0.140874
NH,2,460305.000000,3,306870.000000,0.412222,0,0.412222,1,0.078889
NJ,14,526011.285714,19,387587.263158,0.476741,8,0.094687,9,0.003057
NM,3,433322.666667,4,324992.000000,0.527442,1,0.194109,2,0.027442
NY,34,516390.823529,46,381680.173913,0.528379,21,0.089268,24,0.006640
NC,11,534039.000000,16,367151.812500,0.532814,8,0.194459,9,0.029686
ND,1,652695.000000,2,326347.500000,0.715628,1,0.284372,1,0.215628
OH,21,514162.809524,28,385622.107143,0.511482,11,0.012327,14,0.011482
OK,6,504211.000000,8,378158.250000,0.603737,4,0.062930,5,0.021263
OR,5,526532.600000,7,376094.714286,0.620024,3,0.020024,4,0.048596
PA,23,515944.695652,31,382797.677419,0.503195,12,0.018545,16,0.012934
RI,2,473577.000000,3,315718.000000,0.358752,0,0.358752,1,0.025419
SC,6,519868.000000,8,389901.000000,0.555693,4,0.110973,4,0.055693
SD,1,690178.000000,2,345089.000000,0.717369,1,0.282631,1,0.217369
TN,9,510083.333333,12,382562.500000,0.527640,6,0.139026,6,0.027640
TX,27,526977.148148,38,374431.131579,0.525249,19,0.178455,20,0.001067
UT,3,487012.333333,4,365259.250000,0.432688,1,0.099355,2,0.067312
VT,1,511456.000000,2,255728.000000,0.314209,0,0.314209,1,0.185791
VA,10,534627.900000,14,381877.071429,0.453671,5,0.046329,6,0.025100
WA,8,516270.375000,11,375469.363636,0.543117,5,0.081883,6,0.002338
WV,4,487411.000000,5,389928.800000,0.692017,4,0.307983,4,0.107983
WI,9,522815.000000,12,392111.250000,0.485781,5,0.069774,6,0.014219
WY,1,470816.000000,2,235408.000000,0.323239,0,0.323239,1,0.176761
