Year,V_D_%,N_T,N_I,N_R,N_D,N_D_%,L_T,L_I,L_R,L_D,L_D_%,O_T,O_I,O_R,O_D,O_D_%
2000,0.5029334506495293,435,2,221,212,0.4896073903002309,166,0,75,91,0.5481927710843374,601,2,296,303,0.5058430717863105
2002,0.4827155982399601,435,1,229,205,0.47235023041474655,166,0,80,86,0.5180722891566265,601,1,309,291,0.485
2004,0.49192799518447666,435,1,233,201,0.4631336405529954,166,0,72,94,0.5662650602409639,601,1,305,295,0.49166666666666664
2006,0.5351859574093133,435,0,202,233,0.535632183908046,166,0,81,85,0.5120481927710844,601,0,283,318,0.5291181364392679
2008,0.5467612465706773,435,0,178,257,0.5908045977011495,166,0,93,73,0.4397590361445783,601,0,271,330,0.5490848585690515
2010,0.47229379948075323,435,0,242,193,0.4436781609195402,166,0,71,95,0.572289156626506,601,0,313,288,0.47920133111480867
2012,0.5085044726164526,435,0,234,201,0.46206896551724136,166,0,63,103,0.6204819277108434,601,0,297,304,0.5058236272878536
2014,0.4743502577192964,435,0,247,188,0.432183908045977,166,0,70,96,0.5783132530120482,601,0,317,284,0.47254575707154745
2016,0.49532586719032035,435,0,241,194,0.4459770114942529,166,0,64,102,0.6144578313253012,601,0,305,296,0.4925124792013311
2018,0.5354025250769974,435,1,199,235,0.5414746543778802,166,0,78,88,0.5301204819277109,601,1,277,323,0.5383333333333333
2020,0.5107606054134247,435,0,213,222,0.5103448275862069,166,0,82,84,0.5060240963855421,601,0,295,306,0.5091514143094842
2022,0.4880992491207037,435,0,222,213,0.4896551724137931,166,0,84,82,0.4939759036144578,601,0,306,295,0.4908485856905158
