XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.472492,2,0.159270,637304.285714,10,4,0.044985,446113.000000
AK,1,0.414254,0,0.328507,628933.000000,1,0,0.328507,628933.000000
AZ,8,0.518570,4,0.037141,642585.375000,11,6,0.008314,467334.818182
AR,4,0.598378,3,0.053244,669933.250000,6,4,0.030089,446622.166667
CA,53,0.578848,34,0.016186,640203.735849,72,43,0.060473,471261.083333
CO,7,0.551924,4,0.032420,615983.142857,9,5,0.048293,479098.000000
CT,5,0.607042,4,0.085917,681907.000000,7,4,0.142654,487076.428571
DE,1,0.404059,0,0.308119,785068.000000,2,0,0.308119,392534.000000
FL,25,0.485805,9,0.111610,641155.600000,34,14,0.059846,471437.941176
GA,13,0.439143,6,0.083252,631305.769231,17,8,0.092302,482763.235294
HI,2,0.650433,2,0.199134,608321.000000,3,2,0.134200,405547.333333
ID,2,0.416883,0,0.333767,648637.000000,3,0,0.333767,432424.666667
IL,19,0.568142,11,0.057336,654686.421053,26,16,0.020899,478424.692308
IN,9,0.494125,5,0.067306,676753.555556,13,7,0.050212,468521.692308
IA,5,0.485497,3,0.129006,586384.600000,6,4,0.195673,488653.833333
KS,4,0.445636,2,0.108727,673456.000000,6,2,0.057939,448970.666667
KY,6,0.469529,2,0.105725,674905.166667,9,3,0.105725,449936.777778
LA,7,0.422197,3,0.084177,640038.714286,10,4,0.055606,448027.100000
ME,2,0.682488,2,0.135024,638865.500000,3,3,0.135024,425910.333333
MD,8,0.615443,6,0.019114,663485.750000,11,8,0.003613,482535.090909
MA,10,0.705969,10,0.088061,635556.800000,14,12,0.054796,453969.142857
MI,15,0.524549,6,0.149098,663721.933333,21,10,0.072907,474087.095238
MN,8,0.554876,5,0.015247,615708.750000,11,6,0.064298,447788.181818
MS,4,0.580911,2,0.161822,713231.750000,6,3,0.161822,475487.833333
MO,9,0.486019,4,0.027593,622917.777778,12,5,0.055371,467188.333333
MT,1,0.399246,0,0.298493,905316.000000,2,1,0.201507,452658.000000
NE,3,0.439382,0,0.378764,571789.666667,4,1,0.128764,428842.250000
NV,3,0.525139,0,0.550278,667344.000000,4,1,0.300278,500508.000000
NH,2,0.524833,2,0.450334,619207.500000,3,2,0.117001,412805.000000
NJ,13,0.547804,7,0.057146,648027.230769,18,11,0.015503,468019.666667
NM,3,0.558310,1,0.283287,607940.333333,4,2,0.116621,455955.250000
NY,29,0.647077,23,0.001051,655343.896552,40,29,0.069154,475124.325000
NC,13,0.521909,7,0.005356,620590.230769,17,10,0.044418,474569.000000
ND,1,0.656802,1,0.186395,643756.000000,1,1,0.186395,643756.000000
OH,18,0.526738,7,0.164588,631918.888889,24,12,0.053477,473939.166667
OK,5,0.418546,1,0.137092,691763.800000,7,2,0.051378,494117.000000
OR,5,0.578726,4,0.142549,685708.600000,7,5,0.056835,489791.857143
PA,19,0.545087,11,0.011226,647403.684211,26,15,0.013251,473102.692308
RI,2,0.722089,2,0.055821,524831.000000,2,2,0.055821,524831.000000
SC,6,0.575676,2,0.318019,670843.500000,9,5,0.095796,447229.000000
SD,1,0.701936,1,0.096128,756874.000000,2,1,0.403872,378437.000000
TN,9,0.518464,5,0.018628,633337.444444,12,7,0.046406,475003.083333
TX,32,0.465781,12,0.056563,653249.812500,45,18,0.031563,464533.200000
UT,3,0.455515,1,0.077696,745571.333333,5,2,0.011030,447342.800000
VT,1,0.544370,1,0.411259,609890.000000,1,1,0.411259,609890.000000
VA,11,0.513506,3,0.254284,645518.363636,15,7,0.060345,473380.133333
WA,9,0.609223,6,0.051780,656520.444444,13,9,0.026139,454514.153846
WV,3,0.580192,2,0.006283,604359.000000,4,2,0.160384,453269.250000
WI,8,0.537085,5,0.050831,671401.250000,11,6,0.028715,488291.818182
WY,1,0.497275,0,0.494549,495304.000000,1,0,0.494549,495304.000000
