XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.458278,2,0.130842,637304.285714,10,4,0.016556,446113.000000
AK,1,0.188273,0,0.123454,628933.000000,1,0,0.123454,628933.000000
AZ,8,0.409109,2,0.068218,642585.375000,11,4,0.045419,467334.818182
AR,4,0.567575,3,0.114850,669933.250000,6,5,0.198183,446622.166667
CA,53,0.534821,33,0.052999,640203.735849,72,40,0.014087,471261.083333
CO,7,0.439091,2,0.092468,615983.142857,9,4,0.066262,479098.000000
CT,5,0.522079,2,0.144157,681907.000000,7,4,0.027271,487076.428571
DE,1,0.270420,0,0.040839,785068.000000,2,1,0.459161,392534.000000
FL,25,0.435008,7,0.090017,641155.600000,34,13,0.012336,471437.941176
GA,13,0.421841,5,0.040934,631305.769231,17,6,0.009259,482763.235294
HI,2,0.665672,2,0.168657,608321.000000,3,3,0.168657,405547.333333
ID,2,0.350007,0,0.200015,648637.000000,3,1,0.133319,432424.666667
IL,19,0.513957,9,0.054229,654686.421053,26,14,0.010548,478424.692308
IN,9,0.432447,3,0.031562,676753.555556,13,5,0.019720,468521.692308
IA,5,0.453581,1,0.207162,586384.600000,6,2,0.073828,488653.833333
KS,4,0.389043,1,0.028086,673456.000000,6,2,0.055247,448970.666667
KY,6,0.364680,2,0.103973,674905.166667,9,3,0.103973,449936.777778
LA,7,0.445546,2,0.105379,640038.714286,10,4,0.008907,448027.100000
ME,2,0.584530,2,0.330941,638865.500000,3,2,0.002393,425910.333333
MD,8,0.545662,6,0.158676,663485.750000,11,6,0.045870,482535.090909
MA,10,0.690304,10,0.119392,635556.800000,14,12,0.023465,453969.142857
MI,15,0.488654,6,0.077307,663721.933333,21,11,0.046502,474087.095238
MN,8,0.516051,4,0.032103,615708.750000,11,5,0.077557,447788.181818
MS,4,0.485842,2,0.028317,713231.750000,6,4,0.194983,475487.833333
MO,9,0.456826,4,0.030792,622917.777778,12,4,0.080319,467188.333333
MT,1,0.335780,0,0.171560,905316.000000,2,1,0.328440,452658.000000
NE,3,0.310367,0,0.120734,571789.666667,4,1,0.129266,428842.250000
NV,3,0.362427,1,0.108478,667344.000000,4,1,0.025145,500508.000000
NH,2,0.408415,0,0.316829,619207.500000,3,1,0.016504,412805.000000
NJ,13,0.510916,7,0.016630,648027.230769,18,9,0.021831,468019.666667
NM,3,0.534737,1,0.236141,607940.333333,4,1,0.319475,455955.250000
NY,29,0.541170,19,0.072833,655343.896552,40,23,0.007340,475124.325000
NC,13,0.474558,6,0.012422,620590.230769,17,8,0.021472,474569.000000
ND,1,0.524057,1,0.451885,643756.000000,1,1,0.451885,643756.000000
OH,18,0.438289,6,0.043244,631918.888889,24,9,0.001577,473939.166667
OK,5,0.454410,1,0.208820,691763.800000,7,3,0.019752,494117.000000
OR,5,0.561332,4,0.177336,685708.600000,7,4,0.051236,489791.857143
PA,19,0.458796,7,0.049170,647403.684211,26,12,0.043947,473102.692308
RI,2,0.698157,2,0.103686,524831.000000,2,2,0.103686,524831.000000
SC,6,0.426602,2,0.019871,670843.500000,9,4,0.091240,447229.000000
SD,1,0.460321,0,0.420641,756874.000000,2,0,0.420641,378437.000000
TN,9,0.482193,5,0.091169,633337.444444,12,6,0.035614,475003.083333
TX,32,0.470332,17,0.090586,653249.812500,45,21,0.026003,464533.200000
UT,3,0.407446,1,0.018441,745571.333333,5,2,0.085107,447342.800000
VT,1,0.000000,0,0.500000,609890.000000,1,0,0.500000,609890.000000
VA,11,0.404260,3,0.035793,645518.363636,15,5,0.024813,473380.133333
WA,9,0.538105,6,0.090456,656520.444444,13,8,0.039174,454514.153846
WV,3,0.590650,2,0.014634,604359.000000,4,3,0.068700,453269.250000
WI,8,0.474917,4,0.050167,671401.250000,11,5,0.004712,488291.818182
WY,1,0.374374,0,0.248749,495304.000000,1,0,0.248749,495304.000000
