XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,555723.000000,10,389006.100000,0.646902,5,0.067384,6,0.046902
AK,1,400481.000000,2,200240.500000,0.288493,0,0.288493,1,0.211507
AZ,5,543573.200000,7,388266.571429,0.432137,2,0.032137,3,0.003566
AR,4,571378.250000,6,380918.833333,0.523506,2,0.023506,3,0.023506
CA,45,525968.044444,62,381751.000000,0.503684,28,0.118538,31,0.003684
CO,6,481472.333333,8,361104.250000,0.480363,3,0.019637,4,0.019637
CT,6,517929.333333,8,388447.000000,0.543210,4,0.123457,4,0.043210
DE,1,595225.000000,2,297612.500000,0.530643,1,0.469357,1,0.030643
FL,19,512631.157895,26,374615.076923,0.589457,13,0.094754,15,0.012534
GA,10,546426.500000,14,390304.642857,0.677617,9,0.222383,9,0.034760
HI,2,482500.000000,3,321666.666667,0.766913,2,0.233087,2,0.100246
ID,2,471967.500000,3,314645.000000,0.470179,0,0.470179,1,0.136845
IL,22,519020.954545,30,380615.366667,0.556044,12,0.010589,17,0.010623
IN,10,549017.900000,14,392155.642857,0.492368,5,0.007632,7,0.007632
IA,6,485564.500000,8,364173.375000,0.526571,3,0.026571,4,0.026571
KS,5,472641.600000,6,393868.000000,0.462933,2,0.062933,3,0.037067
KY,7,523061.857143,10,366143.300000,0.576996,4,0.005567,6,0.023004
LA,8,525496.500000,11,382179.272727,0.587250,6,0.162750,6,0.041796
ME,2,562330.000000,3,374886.666667,0.417442,0,0.417442,1,0.084108
MD,8,527055.750000,11,383313.272727,0.680560,7,0.194440,7,0.044196
MA,11,521548.818182,15,382469.133333,0.654533,10,0.254558,10,0.012133
MI,18,514352.444444,24,385764.333333,0.570254,12,0.096413,14,0.013079
MN,8,509643.500000,11,370649.818182,0.551542,5,0.073458,6,0.006087
MS,5,504127.600000,7,360091.142857,0.529141,3,0.070859,4,0.042288
MO,9,546382.666667,13,378264.923077,0.571539,6,0.095128,7,0.033077
MT,2,393345.000000,3,262230.000000,0.538168,1,0.038168,2,0.128499
NE,3,523335.333333,4,392501.500000,0.320091,0,0.320091,1,0.070091
NV,2,399592.000000,3,266394.666667,0.496311,1,0.003689,1,0.162978
NH,2,460305.000000,3,306870.000000,0.425815,1,0.074185,1,0.092482
NJ,14,526011.285714,19,387587.263158,0.568558,9,0.074299,11,0.010390
NM,3,433322.666667,4,324992.000000,0.513751,1,0.180417,2,0.013751
NY,34,516390.823529,46,381680.173913,0.546645,20,0.041590,25,0.003167
NC,11,534039.000000,16,367151.812500,0.581885,9,0.236297,9,0.019385
ND,1,652695.000000,2,326347.500000,0.720835,1,0.279165,1,0.220835
OH,21,514162.809524,28,385622.107143,0.533031,10,0.056840,15,0.002684
OK,6,504211.000000,8,378158.250000,0.634903,5,0.198430,5,0.009903
OR,5,526532.600000,7,376094.714286,0.569575,3,0.030425,4,0.001854
PA,23,515944.695652,31,382797.677419,0.532251,13,0.032967,16,0.016122
RI,2,473577.000000,3,315718.000000,0.524864,1,0.024864,2,0.141802
SC,6,519868.000000,8,389901.000000,0.509677,3,0.009677,4,0.009677
SD,1,690178.000000,2,345089.000000,0.515585,1,0.484415,1,0.015585
TN,9,510083.333333,12,382562.500000,0.610724,6,0.055942,7,0.027391
TX,27,526977.148148,38,374431.131579,0.583867,21,0.193911,22,0.004920
UT,3,487012.333333,4,365259.250000,0.418294,0,0.418294,1,0.168294
VT,1,511456.000000,2,255728.000000,0.251143,0,0.251143,1,0.248857
VA,10,534627.900000,14,381877.071429,0.481296,4,0.081296,7,0.018704
WA,8,516270.375000,11,375469.363636,0.533197,5,0.091803,6,0.012258
WV,4,487411.000000,5,389928.800000,0.629080,4,0.370920,4,0.170920
WI,9,522815.000000,12,392111.250000,0.551236,5,0.004320,7,0.032098
WY,1,470816.000000,2,235408.000000,0.289062,0,0.289062,1,0.210938
