XX,n,POWER,n',POWER'
AL,7,555723.000000,10,389006.100000
AK,1,400481.000000,2,200240.500000
AZ,5,543573.200000,7,388266.571429
AR,4,571378.250000,6,380918.833333
CA,45,525968.044444,62,381751.000000
CO,6,481472.333333,8,361104.250000
CT,6,517929.333333,8,388447.000000
DE,1,595225.000000,2,297612.500000
FL,19,512631.157895,26,374615.076923
GA,10,546426.500000,14,390304.642857
HI,2,482500.000000,3,321666.666667
ID,2,471967.500000,3,314645.000000
IL,22,519020.954545,30,380615.366667
IN,10,549017.900000,14,392155.642857
IA,6,485564.500000,8,364173.375000
KS,5,472641.600000,6,393868.000000
KY,7,523061.857143,10,366143.300000
LA,8,525496.500000,11,382179.272727
ME,2,562330.000000,3,374886.666667
MD,8,527055.750000,11,383313.272727
MA,11,521548.818182,15,382469.133333
MI,18,514352.444444,24,385764.333333
MN,8,509643.500000,11,370649.818182
MS,5,504127.600000,7,360091.142857
MO,9,546382.666667,13,378264.923077
MT,2,393345.000000,3,262230.000000
NE,3,523335.333333,4,392501.500000
NV,2,399592.000000,3,266394.666667
NH,2,460305.000000,3,306870.000000
NJ,14,526011.285714,19,387587.263158
NM,3,433322.666667,4,324992.000000
NY,34,516390.823529,46,381680.173913
NC,11,534039.000000,16,367151.812500
ND,1,652695.000000,2,326347.500000
OH,21,514162.809524,28,385622.107143
OK,6,504211.000000,8,378158.250000
OR,5,526532.600000,7,376094.714286
PA,23,515944.695652,31,382797.677419
RI,2,473577.000000,3,315718.000000
SC,6,519868.000000,8,389901.000000
SD,1,690178.000000,2,345089.000000
TN,9,510083.333333,12,382562.500000
TX,27,526977.148148,38,374431.131579
UT,3,487012.333333,4,365259.250000
VT,1,511456.000000,2,255728.000000
VA,10,534627.900000,14,381877.071429
WA,8,516270.375000,11,375469.363636
WV,4,487411.000000,5,389928.800000
WI,9,522815.000000,12,392111.250000
WY,1,470816.000000,2,235408.000000
