XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,686140.285714,10,480298.200000,0.355597,1,0.212739,4,0.044403
AK,1,721523.000000,2,360761.500000,0.454160,0,0.454160,1,0.045840
AZ,9,712522.222222,13,493284.615385,0.498593,5,0.056963,6,0.037054
AR,4,731557.250000,6,487704.833333,0.342947,0,0.342947,2,0.009614
CA,53,704565.830189,78,478743.448718,0.631950,42,0.160503,49,0.003745
CO,7,720704.285714,11,458630.000000,0.549194,4,0.022234,6,0.003740
CT,5,716325.600000,8,447703.500000,0.601840,5,0.398160,5,0.023160
DE,1,900877.000000,2,450438.500000,0.588944,1,0.411056,1,0.088944
FL,27,700028.629630,40,472519.325000,0.474496,11,0.067088,19,0.000504
GA,14,694826.142857,20,486378.300000,0.490037,6,0.061466,10,0.009963
HI,2,683431.000000,3,455620.666667,0.695643,2,0.304357,2,0.028976
ID,2,786749.500000,3,524499.666667,0.312792,0,0.312792,1,0.020541
IL,18,714687.777778,27,476458.518519,0.574752,13,0.147470,16,0.017841
IN,9,722398.000000,14,464398.714286,0.407309,2,0.185087,6,0.021262
IA,4,763446.750000,6,508964.500000,0.470048,1,0.220048,3,0.029952
KS,4,715953.250000,6,477302.166667,0.417999,1,0.167999,3,0.082001
KY,6,725101.000000,9,483400.666667,0.350302,1,0.183636,3,0.016969
LA,6,758993.666667,10,455396.200000,0.383410,1,0.216744,4,0.016590
ME,2,666537.000000,3,444358.000000,0.579548,2,0.420452,2,0.087119
MD,8,723741.125000,12,482494.083333,0.650395,7,0.224605,8,0.016272
MA,9,728849.333333,14,468546.000000,0.676987,9,0.323013,9,0.034130
MI,14,707973.285714,21,471982.190476,0.506657,7,0.006657,11,0.017153
MN,8,664359.875000,11,483170.818182,0.513131,4,0.013131,6,0.032323
MS,4,744560.000000,6,496373.333333,0.396783,1,0.146783,2,0.063449
MO,8,751434.750000,13,462421.384615,0.404726,2,0.154726,5,0.020111
MT,1,994416.000000,2,497208.000000,0.436136,0,0.436136,1,0.063864
NE,3,610608.333333,4,457956.250000,0.357769,0,0.357769,1,0.107769
NV,4,677358.000000,6,451572.000000,0.512198,3,0.237802,3,0.012198
NH,2,660722.500000,3,440481.666667,0.538968,2,0.461032,2,0.127699
NJ,12,733958.416667,19,463552.684211,0.579422,10,0.253911,11,0.000474
NM,3,689091.000000,4,516818.250000,0.548693,2,0.117974,2,0.048693
NY,27,719298.333333,41,473684.268293,0.620713,19,0.082991,25,0.010957
NC,13,735829.307692,20,478289.050000,0.489230,5,0.104615,10,0.010770
ND,1,675905.000000,2,337952.500000,0.285461,0,0.285461,1,0.214539
OH,16,723030.937500,24,482020.625000,0.429757,4,0.179757,10,0.013090
OK,5,752976.400000,8,470610.250000,0.313000,0,0.313000,3,0.062000
OR,5,769721.200000,8,481075.750000,0.570723,4,0.229277,5,0.054277
PA,18,707494.722222,27,471663.148148,0.493666,9,0.006334,13,0.012184
RI,2,527623.500000,2,527623.500000,0.641915,2,0.358085,2,0.358085
SC,7,663710.714286,10,464597.500000,0.432539,1,0.289682,4,0.032539
SD,1,819761.000000,2,409880.500000,0.300000,0,0.300000,1,0.200000
TN,9,708381.222222,13,490417.769231,0.381370,2,0.159148,5,0.003246
TX,36,701900.500000,53,476762.603774,0.452416,13,0.091305,24,0.000414
UT,4,692691.250000,6,461794.166667,0.366815,0,0.366815,2,0.033482
VT,1,630337.000000,1,630337.000000,0.713647,1,0.286353,1,0.286353
VA,11,730703.272727,17,472808.000000,0.535670,7,0.100694,9,0.006258
WA,10,675336.900000,14,482383.500000,0.583682,7,0.116318,8,0.012254
WV,3,619938.333333,4,464953.750000,0.324373,0,0.324373,1,0.074373
WI,8,712278.750000,12,474852.500000,0.485327,3,0.110327,6,0.014673
WY,1,568300.000000,1,568300.000000,0.263868,0,0.263868,0,0.263868
