HOUSE SEAT,PRIORITY VALUE,STATE,STATE SEAT
51,16736201,CA,2
52,12414877,NY,2
53,10060986,TX,2
54,9662650,CA,3
55,8391044,PA,2
56,8074071,IL,2
57,7634928,OH,2
58,7167733,NY,3
59,6887214,FL,2
60,6832525,CA,4
61,6546638,MI,2
62,5808713,TX,3
63,5292451,CA,5
64,5207246,NJ,2
65,5068352,NY,4
66,4844571,PA,3
67,4661567,IL,3
68,4408028,OH,3
69,4321268,CA,6
70,4153849,NC,2
71,4107380,TX,4
72,4056698,MA,2
73,3976335,FL,3
74,3925929,NY,5
75,3882143,IN,2
76,3863819,GA,2
77,3780390,VA,2
78,3779703,MI,3
79,3652138,CA,7
80,3477158,MO,2
81,3425629,PA,4
82,3327174,WI,2
83,3296226,IL,4
84,3246150,TN,2
85,3205508,NY,6
86,3181563,TX,5
87,3162845,CA,8
88,3116946,OH,4
89,3006405,NJ,3
90,2981478,MD,2
91,2972657,LA,2
92,2920466,WA,2
93,2882979,MN,2
94,2811694,FL,4
95,2789367,CA,9
96,2750689,AL,2
97,2709148,NY,7
98,2672654,MI,4
99,2653481,PA,5
100,2597735,TX,6
101,2589024,KY,2
102,2553245,IL,5
103,2494885,CA,10
104,2414376,OH,5
105,2398226,NC,3
106,2346191,NY,8
107,2342136,MA,3
108,2256709,CA,11
109,2241356,IN,3
110,2230777,GA,3
111,2205613,SC,2
112,2197388,CT,2
113,2195487,TX,7
114,2182609,VA,3
115,2177928,FL,5
116,2166558,PA,6
117,2139186,OK,2
118,2125849,NJ,4
119,2084716,IL,6
120,2070229,MI,5
121,2069146,NY,9
122,2060084,CA,12
123,2060076,IA,2
124,2042714,CO,2
125,2007538,MO,3
126,1971330,OH,6
127,1921821,AZ,2
128,1920945,WI,3
129,1901348,TX,8
130,1895002,CA,13
131,1874166,TN,3
132,1861574,OR,2
133,1850701,NY,10
134,1831076,PA,7
135,1782360,MS,2
136,1778271,FL,6
137,1761907,IL,7
138,1754431,CA,14
139,1721357,MD,3
140,1716264,LA,3
141,1695802,NC,4
142,1690335,MI,6
143,1686132,WA,3
144,1676831,TX,9
145,1674022,NY,11
146,1671040,KS,2
147,1666078,OH,7
148,1664489,MN,3
149,1656140,MA,4
150,1646676,NJ,5
151,1633286,CA,15
152,1616102,AR,2
153,1588111,AL,3
154,1585758,PA,8
155,1584878,IN,4
156,1577397,GA,4
157,1543338,VA,4
158,1528166,NY,12
159,1527799,CA,16
160,1525856,IL,8
161,1502913,FL,7
162,1499803,TX,10
163,1494774,KY,3
164,1442866,OH,8
165,1435117,CA,17
166,1428593,MI,7
