XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,555723.000000,10,389006.100000,0.642079,5,0.072207,6,0.042079
AK,1,400481.000000,2,200240.500000,0.421110,0,0.421110,1,0.078890
AZ,5,543573.200000,7,388266.571429,0.372899,1,0.172899,3,0.055672
AR,4,571378.250000,6,380918.833333,0.590372,3,0.159628,4,0.076294
CA,45,525968.044444,62,381751.000000,0.525296,27,0.074704,33,0.006962
CO,6,481472.333333,8,361104.250000,0.442637,3,0.057363,4,0.057363
CT,6,517929.333333,8,388447.000000,0.556676,3,0.056676,4,0.056676
DE,1,595225.000000,2,297612.500000,0.664204,1,0.335796,1,0.164204
FL,19,512631.157895,26,374615.076923,0.537287,12,0.094292,14,0.001175
GA,10,546426.500000,14,390304.642857,0.651855,8,0.148145,9,0.008997
HI,2,482500.000000,3,321666.666667,0.580519,1,0.080519,2,0.086148
ID,2,471967.500000,3,314645.000000,0.438806,1,0.061194,1,0.105473
IL,22,519020.954545,30,380615.366667,0.547448,13,0.043461,16,0.014115
IN,10,549017.900000,14,392155.642857,0.510461,6,0.089539,7,0.010461
IA,6,485564.500000,8,364173.375000,0.481206,2,0.147873,4,0.018794
KS,5,472641.600000,6,393868.000000,0.439526,2,0.039526,3,0.060474
KY,7,523061.857143,10,366143.300000,0.566880,4,0.004548,6,0.033120
LA,8,525496.500000,11,382179.272727,0.532949,4,0.032949,6,0.012506
ME,2,562330.000000,3,374886.666667,0.399192,1,0.100808,1,0.065859
MD,8,527055.750000,11,383313.272727,0.629003,6,0.120997,7,0.007361
MA,11,521548.818182,15,382469.133333,0.663037,10,0.246053,10,0.003629
MI,18,514352.444444,24,385764.333333,0.578673,11,0.032438,14,0.004660
MN,8,509643.500000,11,370649.818182,0.598590,5,0.026410,7,0.037773
MS,5,504127.600000,7,360091.142857,0.592227,4,0.207773,4,0.020798
MO,9,546382.666667,13,378264.923077,0.557535,5,0.001979,7,0.019073
MT,2,393345.000000,3,262230.000000,0.541380,1,0.041380,2,0.125287
NE,3,523335.333333,4,392501.500000,0.354387,0,0.354387,1,0.104387
NV,2,399592.000000,3,266394.666667,0.475385,1,0.024615,1,0.142051
NH,2,460305.000000,3,306870.000000,0.350966,0,0.350966,1,0.017632
NJ,14,526011.285714,19,387587.263158,0.517497,8,0.053931,10,0.008819
NM,3,433322.666667,4,324992.000000,0.463696,1,0.130363,2,0.036304
NY,34,516390.823529,46,381680.173913,0.533520,20,0.054715,25,0.009958
NC,11,534039.000000,16,367151.812500,0.566013,8,0.161260,9,0.003513
ND,1,652695.000000,2,326347.500000,0.763496,1,0.236504,2,0.236504
OH,21,514162.809524,28,385622.107143,0.498543,11,0.025267,14,0.001457
OK,6,504211.000000,8,378158.250000,0.606400,4,0.060267,5,0.018600
OR,5,526532.600000,7,376094.714286,0.567057,3,0.032943,4,0.004372
PA,23,515944.695652,31,382797.677419,0.520612,12,0.001127,16,0.004483
RI,2,473577.000000,3,315718.000000,0.424280,1,0.075720,1,0.090947
SC,6,519868.000000,8,389901.000000,0.596308,4,0.070359,5,0.028692
SD,1,690178.000000,2,345089.000000,0.591814,1,0.408186,1,0.091814
TN,9,510083.333333,12,382562.500000,0.550722,6,0.115945,7,0.032611
TX,27,526977.148148,38,374431.131579,0.527896,17,0.101733,20,0.001581
UT,3,487012.333333,4,365259.250000,0.461264,1,0.127931,2,0.038736
VT,1,511456.000000,2,255728.000000,0.298293,0,0.298293,1,0.201707
VA,10,534627.900000,14,381877.071429,0.495526,5,0.004474,7,0.004474
WA,8,516270.375000,11,375469.363636,0.592877,5,0.032123,7,0.043487
WV,4,487411.000000,5,389928.800000,0.686994,4,0.313006,4,0.113006
WI,9,522815.000000,12,392111.250000,0.489102,5,0.066454,6,0.010898
WY,1,470816.000000,2,235408.000000,0.305281,0,0.305281,1,0.194719
