XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.380751,1,0.118645,686140.285714,9,3,0.071831,533664.666667
AK,1,0.417197,0,0.334394,721523.000000,1,0,0.334394,721523.000000
AZ,9,0.465830,4,0.012784,712522.222222,12,5,0.014994,534391.666667
AR,4,0.320782,0,0.141563,731557.250000,6,1,0.025103,487704.833333
CA,53,0.615493,39,0.004863,704565.830189,72,50,0.036541,518638.736111
CO,7,0.495137,3,0.061702,720704.285714,10,6,0.109727,504493.000000
CT,5,0.621579,5,0.256842,716325.600000,7,5,0.028873,511661.142857
DE,1,0.575462,1,0.349077,900877.000000,2,1,0.150923,450438.500000
FL,27,0.466186,11,0.024964,700028.629630,37,16,0.000061,510831.702703
GA,14,0.443298,4,0.100882,694826.142857,19,8,0.034456,511977.157895
HI,2,0.786942,2,0.073884,683431.000000,3,3,0.073884,455620.666667
ID,2,0.318325,0,0.136651,786749.500000,3,1,0.196683,524499.666667
IL,18,0.543859,11,0.023393,714687.777778,25,15,0.012282,514575.200000
IN,9,0.407794,2,0.093366,722398.000000,13,4,0.007896,500121.692308
IA,4,0.453204,1,0.156407,763446.750000,6,2,0.073074,508964.500000
KS,4,0.356724,0,0.213447,715953.250000,6,1,0.046781,477302.166667
KY,6,0.365480,1,0.064294,725101.000000,8,3,0.144039,543825.750000
LA,6,0.329872,1,0.006923,758993.666667,9,3,0.173590,505995.777778
ME,2,0.519608,1,0.039217,666537.000000,3,1,0.205883,444358.000000
MD,8,0.629722,7,0.115555,723741.125000,11,9,0.058737,526357.181818
MA,9,0.694162,9,0.111676,728849.333333,13,11,0.042170,504588.000000
MI,14,0.494431,5,0.131719,707973.285714,19,9,0.015178,521664.526316
MN,8,0.573434,5,0.021868,664359.875000,10,6,0.046868,531487.900000
MS,4,0.397889,1,0.045779,744560.000000,6,3,0.204221,496373.333333
MO,8,0.394161,2,0.038322,751434.750000,12,5,0.128345,500956.500000
MT,1,0.419150,0,0.338301,994416.000000,2,1,0.161699,497208.000000
NE,3,0.363368,0,0.226736,610608.333333,4,1,0.023264,457956.250000
NV,4,0.504974,3,0.240053,677358.000000,5,4,0.290053,541886.400000
NH,2,0.515672,2,0.468657,660722.500000,3,2,0.135323,440481.666667
NJ,12,0.541625,7,0.000084,733958.416667,17,12,0.122633,518088.294118
NM,3,0.560129,2,0.046409,689091.000000,4,2,0.120258,516818.250000
NY,27,0.624668,18,0.082670,719298.333333,38,27,0.038810,511080.394737
NC,13,0.466812,3,0.202855,735829.307692,18,6,0.100291,531432.277778
ND,1,0.434028,0,0.368056,675905.000000,1,0,0.368056,675905.000000
OH,16,0.418310,4,0.086620,723030.937500,22,10,0.117925,525840.681818
OK,5,0.284782,0,0.069564,752976.400000,7,1,0.073293,537840.285714
OR,5,0.547517,4,0.204966,769721.200000,7,4,0.023606,549800.857143
PA,18,0.471663,5,0.165549,707494.722222,25,7,0.163327,509396.200000
RI,2,0.651023,2,0.197955,527623.500000,2,2,0.197955,527623.500000
SC,7,0.394668,1,0.146480,663710.714286,9,2,0.067115,516219.444444
SD,1,0.358972,0,0.217944,819761.000000,2,0,0.217944,409880.500000
TN,9,0.352777,2,0.016669,708381.222222,12,4,0.127780,531285.916667
TX,36,0.434248,11,0.062940,701900.500000,49,16,0.041965,515682.000000
UT,4,0.333939,0,0.167878,692691.250000,5,0,0.167878,554153.000000
VT,1,1.000000,1,0.500000,630337.000000,1,1,0.500000,630337.000000
VA,11,0.488212,4,0.112788,730703.272727,16,8,0.023576,502358.500000
WA,10,0.539312,6,0.021376,675336.900000,13,9,0.113684,519489.923077
WV,3,0.335266,0,0.170531,619938.333333,4,1,0.079469,464953.750000
WI,8,0.487819,3,0.100637,712278.750000,11,6,0.069817,518020.909091
WY,1,0.325787,0,0.151574,568300.000000,1,0,0.151574,568300.000000
