YEAR,XX, STATE,DISTRICT,UNCONTESTED
1998,LA,Louisiana,2,Democrat
1998,LA,Louisiana,3,Republican
1998,LA,Louisiana,4,Republican
1998,LA,Louisiana,5,Republican
1998,LA,Louisiana,7,Democrat
1998,MA,Massachusetts,2,Democrat
1998,MA,Massachusetts,4,Democrat
1998,MA,Massachusetts,9,Democrat
1998,MI,Michigan,4,Republican
1998,MS,Mississippi,2,Democrat
1998,MS,Mississippi,3,Republican
1998,NC,North Carolina,6,Republican
1998,NC,North Carolina,7,Democrat
1998,NC,North Carolina,10,Republican
1998,NE,Nebraska,3,Republican
1998,NV,Nevada,2,Republican
1998,NY,New York,6,Democrat
1998,NY,New York,18,Democrat
1998,NY,New York,23,Republican
1998,OR,Oregon,3,Democrat
1998,PA,Pennsylvania,5,Republican
1998,PA,Pennsylvania,9,Republican
1998,PA,Pennsylvania,17,Republican
1998,PA,Pennsylvania,20,Democrat
1998,SC,South Carolina,1,Republican
1998,SC,South Carolina,3,Republican
1998,TN,Tennessee,2,Republican
1998,TN,Tennessee,5,Democrat
1998,TN,Tennessee,7,Republican
1998,TN,Tennessee,8,Democrat
1998,TX,Texas,3,Republican
1998,TX,Texas,7,Republican
1998,TX,Texas,8,Republican
1998,TX,Texas,10,Democrat
1998,TX,Texas,11,Democrat
1998,TX,Texas,16,Democrat
1998,TX,Texas,18,Democrat
1998,TX,Texas,21,Republican
1998,TX,Texas,26,Republican
1998,TX,Texas,28,Democrat
1998,TX,Texas,29,Democrat
1998,UT,Utah,3,Republican
1998,VA,Virginia,1,Republican
1998,VA,Virginia,2,Democrat
1998,VA,Virginia,3,Democrat
1998,VA,Virginia,4,Democrat
1998,VA,Virginia,5,Democrat
1998,VA,Virginia,7,Republican
1998,VA,Virginia,11,Republican
1998,VT,Vermont,1,Other
1998,WI,Wisconsin,6,Republican
1998,WI,Wisconsin,9,Republican
1998,WV,West Virginia,1,Democrat
1998,WV,West Virginia,3,Democrat
2000,AL,Alabama,1,Republican
2000,AL,Alabama,3,Republican
2000,AL,Alabama,5,Democrat
2000,AL,Alabama,6,Republican
2000,AR,Arkansas,3,Republican
2000,CA,California,26,Democrat
2000,CA,California,31,Democrat
2000,CA,California,40,Republican
2000,CA,California,43,Republican
2000,CO,Colorado,4,Republican
2000,CO,Colorado,5,Republican
2000,FL,Florida,1,Republican
2000,FL,Florida,6,Republican
2000,FL,Florida,9,Republican
2000,FL,Florida,10,Republican
2000,FL,Florida,11,Democrat
2000,FL,Florida,14,Republican
2000,FL,Florida,17,Democrat
2000,FL,Florida,18,Republican
2000,FL,Florida,20,Democrat
2000,FL,Florida,21,Republican
2000,GA,Georgia,11,Republican
2000,IL,Illinois,4,Democrat
2000,IL,Illinois,5,Democrat
2000,IL,Illinois,12,Democrat
2000,KS,Kansas,1,Republican
2000,LA,Louisiana,2,Democrat
2000,LA,Louisiana,3,Republican
2000,LA,Louisiana,7,Democrat
2000,MA,Massachusetts,2,Democrat
2000,MA,Massachusetts,3,Democrat
2000,MA,Massachusetts,5,Democrat
2000,MA,Massachusetts,7,Democrat
2000,MA,Massachusetts,8,Democrat
2000,NC,North Carolina,5,Republican
2000,NC,North Carolina,6,Republican
2000,NY,New York,6,Democrat
2000,OH,Ohio,3,Democrat
2000,OK,Oklahoma,3,Republican
2000,PA,Pennsylvania,2,Democrat
2000,PA,Pennsylvania,5,Republican
2000,PA,Pennsylvania,9,Republican
2000,PA,Pennsylvania,14,Democrat
2000,SC,South Carolina,4,Republican
2000,TN,Tennessee,1,Republican
2000,TN,Tennessee,2,Republican
2000,TN,Tennessee,9,Democrat
2000,TX,Texas,2,Democrat
2000,TX,Texas,6,Republican
2000,TX,Texas,8,Republican
2000,TX,Texas,10,Democrat
2000,TX,Texas,15,Democrat
2000,TX,Texas,19,Republican
2000,TX,Texas,20,Democrat
2000,TX,Texas,28,Democrat
2000,TX,Texas,30,Democrat
2000,VA,Virginia,3,Democrat
2000,VA,Virginia,4,Republican
2000,VA,Virginia,5,Other
2000,VA,Virginia,6,Republican
2000,VA,Virginia,10,Republican
2000,VT,Vermont,1,Other
2000,WA,Washington,7,Democrat
2000,WV,West Virginia,1,Democrat
2000,WV,West Virginia,3,Democrat
2002,AL,Alabama,4,Republican
2002,AL,Alabama,6,Republican
2002,AL,Alabama,7,Democrat
2002,AR,Arkansas,2,Democrat
2002,AR,Arkansas,3,Republican
2002,CA,California,10,Democrat
2002,CA,California,49,Republican
2002,FL,Florida,4,Republican
2002,FL,Florida,10,Republican
2002,FL,Florida,11,Democrat
2002,FL,Florida,12,Republican
2002,FL,Florida,14,Republican
2002,FL,Florida,16,Republican
2002,FL,Florida,17,Democrat
2002,FL,Florida,20,Democrat
2002,FL,Florida,21,Republican
2002,GA,Georgia,2,Democrat
2002,GA,Georgia,5,Democrat
2002,GA,Georgia,10,Republican
2002,IL,Illinois,3,Democrat
2002,IL,Illinois,18,Republican
2002,KS,Kansas,1,Republican
2002,KY,Kentucky,6,Republican
2002,LA,Louisiana,1,Republican
2002,LA,Louisiana,3,Republican
2002,LA,Louisiana,6,Republican
2002,LA,Louisiana,7,Democrat
2002,MA,Massachusetts,2,Democrat
2002,MA,Massachusetts,3,Democrat
2002,MA,Massachusetts,4,Democrat
2002,MA,Massachusetts,7,Democrat
2002,MA,Massachusetts,8,Democrat
2002,MA,Massachusetts,9,Democrat
2002,MI,Michigan,5,Democrat
2002,MI,Michigan,13,Democrat
2002,NC,North Carolina,3,Republican
