YEAR,XX, STATE,DISTRICT,UNCONTESTED
1980,NY,New York,7,Democrat
1980,NY,New York,10,Democrat
1980,NY,New York,19,Democrat
1980,NY,New York,21,Democrat
1980,OH,Ohio,20,Democrat
1980,OH,Ohio,21,Democrat
1980,OH,Ohio,23,Democrat
1980,OK,Oklahoma,3,Democrat
1980,PA,Pennsylvania,2,Democrat
1980,PA,Pennsylvania,9,Republican
1980,SC,South Carolina,4,Republican
1980,SC,South Carolina,5,Democrat
1980,TN,Tennessee,1,Republican
1980,TN,Tennessee,6,Republican
1980,TN,Tennessee,8,Democrat
1980,TX,Texas,1,Democrat
1980,TX,Texas,5,Democrat
1980,TX,Texas,9,Democrat
1980,TX,Texas,11,Democrat
1980,TX,Texas,16,Democrat
1980,TX,Texas,17,Democrat
1980,TX,Texas,19,Democrat
1980,VA,Virginia,2,Republican
1980,VA,Virginia,5,Democrat
1980,VA,Virginia,6,Republican
1980,VA,Virginia,7,Republican
1980,VT,Vermont,1,Republican
1982,AL,Alabama,3,Democrat
1982,AL,Alabama,4,Democrat
1982,CA,California,3,Democrat
1982,CA,California,25,Democrat
1982,FL,Florida,8,Republican
1982,FL,Florida,10,Democrat
1982,FL,Florida,17,Democrat
1982,GA,Georgia,2,Democrat
1982,GA,Georgia,8,Democrat
1982,GA,Georgia,10,Democrat
1982,HI,Hawaii,1,Democrat
1982,HI,Hawaii,2,Democrat
1982,KY,Kentucky,1,Democrat
1982,LA,Louisiana,1,Republican
1982,LA,Louisiana,2,Democrat
1982,LA,Louisiana,3,Democrat
1982,LA,Louisiana,4,Democrat
1982,LA,Louisiana,5,Democrat
1982,LA,Louisiana,6,Republican
1982,LA,Louisiana,7,Democrat
1982,LA,Louisiana,8,Democrat
1982,MA,Massachusetts,1,Republican
1982,MA,Massachusetts,3,Democrat
1982,MA,Massachusetts,5,Democrat
1982,MA,Massachusetts,11,Democrat
1982,MI,Michigan,1,Democrat
1982,MI,Michigan,8,Democrat
1982,MI,Michigan,14,Democrat
1982,MS,Mississippi,3,Democrat
1982,NC,North Carolina,10,Republican
1982,NE,Nebraska,3,Republican
1982,NY,New York,6,Democrat
1982,NY,New York,8,Democrat
1982,NY,New York,16,Democrat
1982,NY,New York,18,Democrat
1982,NY,New York,19,Democrat
1982,OH,Ohio,3,Democrat
1982,OH,Ohio,18,Democrat
1982,PA,Pennsylvania,2,Democrat
1982,SC,South Carolina,3,Democrat
1982,TN,Tennessee,2,Republican
1982,TN,Tennessee,6,Democrat
1982,TX,Texas,1,Democrat
1982,TX,Texas,2,Democrat
1982,TX,Texas,6,Republican
1982,TX,Texas,10,Democrat
1982,TX,Texas,11,Democrat
1982,TX,Texas,15,Democrat
1982,TX,Texas,17,Democrat
1982,TX,Texas,20,Democrat
1982,TX,Texas,22,Republican
1982,UT,Utah,3,Republican
1982,VA,Virginia,2,Republican
1982,VA,Virginia,5,Democrat
1982,WI,Wisconsin,4,Democrat
1982,WI,Wisconsin,9,Republican
1984,AL,Alabama,3,Democrat
1984,AL,Alabama,4,Democrat
1984,AL,Alabama,5,Democrat
1984,AL,Alabama,7,Democrat
1984,AR,Arkansas,1,Democrat
1984,AR,Arkansas,3,Republican
1984,AR,Arkansas,4,Democrat
1984,AZ,Arizona,2,Democrat
1984,AZ,Arizona,4,Republican
1984,CA,California,3,Democrat
1984,CA,California,22,Republican
1984,CA,California,35,Republican
1984,CO,Colorado,6,Republican
