YEAR,STATE,XX,REP_V,DEM_V,REP_S,DEM_S,OTH_S
2014,Alabama,AL,783674,454078,6,1,0
2014,Alaska,AK,142572,114602,1,0,0
2014,Arizona,AZ,833321,641286,5,4,0
2014,Arkansas,AR,470355,295960,4,0,0
2014,California,CA,3158423,4176295,14,39,0
2014,Colorado,CO,1000197,936417,4,3,0
2014,Connecticut,CT,409513,638695,0,5,0
2014,Delaware,DE,85146,137251,0,1,0
2014,Florida,FL,3191347,2653064,17,10,0
2014,Georgia,GA,1444902,1126139,10,4,0
2014,Hawaii,HI,120084,235400,0,2,0
2014,Idaho,ID,275072,160078,2,0,0
2014,Illinois,IL,1721865,1822779,8,10,0
2014,Indiana,IN,788762,502104,7,2,0
2014,Iowa,IA,595865,509189,3,1,0
2014,Kansas,KS,540756,311530,4,0,0
2014,Kentucky,KY,887157,508151,5,1,0
2014,Louisiana,LA,839477,420643,5,1,0
2014,Maine,ME,228071,305242,1,1,0
2014,Maryland,MD,704400,978267,1,7,0
2014,Massachusetts,MA,790721,1460249,0,9,0
2014,Michigan,MI,1466749,1519030,9,5,0
2014,Minnesota,MN,964375,985760,3,5,0
2014,Mississippi,MS,344066,230014,3,1,0
2014,Missouri,MO,838283,513600,6,2,0
2014,Montana,MT,203871,148690,1,0,0
2014,Nebraska,NE,340816,185234,2,1,0
2014,Nevada,NV,304809,210147,3,1,0
2014,New Hampshire,NH,232379,247469,1,1,0
2014,New Jersey,NJ,867314,914172,6,6,0
2014,New Mexico,NM,240542,271222,1,2,0
2014,New York,NY,1669551,2160358,9,18,0
2014,North Carolina,NC,1541987,1332778,10,3,0
2014,North Dakota,ND,138100,95678,1,0,0
2014,Ohio,OH,1759099,1253918,12,4,0
2014,Oklahoma,OK,567481,219141,5,0,0
2014,Oregon,OR,582909,778139,1,4,0
2014,Pennsylvania,PA,1851716,1606534,13,5,0
2014,Rhode Island,RI,122721,192776,0,2,0
2014,South Carolina,SC,742302,511545,6,1,0
2014,South Dakota,SD,183834,92485,1,0,0
2014,Tennessee,TN,851613,476129,7,2,0
2014,Texas,TX,2837839,1702567,25,11,0
2014,Utah,UT,351034,183491,4,0,0
2014,Vermont,VT,59432,123349,0,1,0
2014,Virginia,VA,1217853,1000859,8,3,0
2014,Washington,WA,920359,1091043,4,6,0
2014,West Virginia,WV,242823,182484,3,0,0
2014,Wisconsin,WI,1233336,1102581,5,3,0
2014,Wyoming,WY,113038,37803,1,0,0
