YEAR,STATE,XX,REP_V,DEM_V,REP_S,DEM_S,OTH_S
2000,Alabama,AL,763894,581020,5,2,0
2000,Alaska,AK,190862,45372,1,0,0
2000,Arizona,AZ,854715,557849,5,1,0
2000,Arkansas,AR,444381,443569,1,3,0
2000,California,CA,4427260,5466700,20,32,0
2000,Colorado,CO,833980,644328,4,2,0
2000,Connecticut,CT,595927,699237,3,3,0
2000,Delaware,DE,211797,96488,1,0,0
2000,Florida,FL,2602707,2256704,15,8,0
2000,Georgia,GA,1495550,996381,8,3,0
2000,Hawaii,HI,110895,221373,0,2,0
2000,Idaho,ID,336855,142345,2,0,0
2000,Illinois,IL,2021135,2346085,10,10,0
2000,Indiana,IN,1140554,953167,6,4,0
2000,Iowa,IA,722885,531642,4,1,0
2000,Kansas,KS,613499,372448,3,1,0
2000,Kentucky,KY,857351,561752,5,1,0
2000,Louisiana,LA,772978,495475,5,2,0
2000,Maine,ME,203437,422606,0,2,0
2000,Maryland,MD,856306,1060934,4,4,0
2000,Massachusetts,MA,592070,1725404,0,10,0
2000,Michigan,MI,1793689,2177618,7,9,0
2000,Minnesota,MN,1068468,1234204,3,5,0
2000,Mississippi,MS,474942,495687,2,3,0
2000,Missouri,MO,1144017,1136020,5,4,0
2000,Montana,MT,211418,189971,1,0,0
2000,Nebraska,NE,486513,178071,3,0,0
2000,Nevada,NV,330884,224848,1,1,0
2000,New Hampshire,NH,303190,238754,2,0,0
2000,New Jersey,NJ,1384170,1532240,6,7,0
2000,New Mexico,NM,274017,299841,2,1,0
2000,New York,NY,2467871,3071557,12,19,0
2000,North Carolina,NC,1413230,1300313,7,5,0
2000,North Dakota,ND,127251,151173,0,1,0
2000,Ohio,OH,2292620,2043764,11,8,0
2000,Oklahoma,OK,656233,390048,5,1,0
2000,Oregon,OR,607098,790365,1,4,0
2000,Pennsylvania,PA,2239244,2326141,11,10,0
2000,Rhode Island,RI,89454,247247,0,2,0
2000,South Carolina,SC,685975,572606,4,2,0
2000,South Dakota,SD,231083,78321,1,0,0
2000,Tennessee,TN,917563,895042,5,4,0
2000,Texas,TX,3060771,2676919,13,17,0
2000,Utah,UT,426648,304797,2,1,0
2000,Vermont,VT,31991,24765,0,0,1
2000,Virginia,VA,1137062,1061812,7,3,1
2000,Washington,WA,1030145,1216029,3,6,0
2000,West Virginia,WV,215210,313921,1,2,0
2000,Wisconsin,WI,1311447,1187866,4,5,0
2000,Wyoming,WY,141848,60638,1,0,0
