YEAR,STATE,XX,REP_V,DEM_V,REP_S,DEM_S,OTH_S
1998,Alabama,AL,663045,547080,5,2,0
1998,Alaska,AK,139676,77232,1,0,0
1998,Arizona,AZ,576107,406834,5,1,0
1998,Arkansas,AR,314647,319693,2,2,0
1998,California,CA,3431825,4156665,24,28,0
1998,Colorado,CO,715820,533297,4,2,0
1998,Connecticut,CT,447858,495557,2,4,0
1998,Delaware,DE,119811,57446,1,0,0
1998,Florida,FL,1941928,1570392,15,8,0
1998,Georgia,GA,991001,737871,8,3,0
1998,Hawaii,HI,119328,260947,0,2,0
1998,Idaho,ID,204568,169389,2,0,0
1998,Illinois,IL,1542483,1730062,10,10,0
1998,Indiana,IN,861951,673322,6,4,0
1998,Iowa,IA,515411,380146,4,1,0
1998,Kansas,KS,450025,272252,3,1,0
1998,Kentucky,KY,638924,456218,5,1,0
1998,Louisiana,LA,461851,400301,5,2,0
1998,Maine,ME,124834,280537,0,2,0
1998,Maryland,MD,668983,802081,4,4,0
1998,Massachusetts,MA,519735,1204383,0,10,0
1998,Michigan,MI,1395160,1519251,6,10,0
1998,Minnesota,MN,890428,1090488,2,6,0
1998,Mississippi,MS,236967,264266,2,3,0
1998,Missouri,MO,750576,787655,4,5,0
1998,Montana,MT,178826,147073,1,0,0
1998,Nebraska,NE,369419,129018,3,0,0
1998,Nevada,NV,210917,148276,1,1,0
1998,New Hampshire,NH,190170,124000,2,0,0
1998,New Jersey,NJ,858367,902374,6,7,0
1998,New Mexico,NM,246127,228084,2,1,0
1998,New York,NY,1790254,2231884,12,19,0
1998,North Carolina,NC,994464,851864,7,5,0
1998,North Dakota,ND,87511,119668,0,1,0
1998,Ohio,OH,1752443,1593873,11,8,0
1998,Oklahoma,OK,538194,314358,6,0,0
1998,Oregon,OR,441845,593126,1,4,0
1998,Pennsylvania,PA,1424256,1441797,10,11,0
1998,Rhode Island,RI,87709,203705,0,2,0
1998,South Carolina,SC,500862,451845,4,2,0
1998,South Dakota,SD,194157,64433,1,0,0
1998,Tennessee,TN,462682,434526,5,4,0
1998,Texas,TX,1799259,1543292,13,17,0
1998,Utah,UT,263878,171277,3,0,0
1998,Vermont,VT,44470,25399,0,0,1
1998,Virginia,VA,563638,524780,5,6,0
1998,Washington,WA,849460,980157,4,5,0
1998,West Virginia,WV,85097,229385,0,3,0
1998,Wisconsin,WI,792671,852248,4,5,0
1998,Wyoming,WY,100687,67399,1,0,0
