YEAR,STATE,XX,REP_V,DEM_V,REP_S,DEM_S,OTH_S
1994,Alabama,AL,611184,506734,3,4,0
1994,Alaska,AK,118537,68172,1,0,0
1994,Arizona,AZ,652831,409672,5,1,0
1994,Arkansas,AR,372889,336123,2,2,0
1994,California,CA,4094754,3939084,25,27,0
1994,Colorado,CO,698255,405869,4,2,0
1994,Connecticut,CT,505150,416095,3,3,0
1994,Delaware,DE,137945,51793,1,0,0
1994,Florida,FL,2205370,1579256,15,8,0
1994,Georgia,GA,816484,681051,8,3,0
1994,Hawaii,HI,119514,219185,0,2,0
1994,Idaho,ID,255321,137762,2,0,0
1994,Illinois,IL,1593066,1450127,10,10,0
1994,Indiana,IN,875082,667454,6,4,0
1994,Iowa,IA,560117,407309,5,0,0
1994,Kansas,KS,519127,298269,4,0,0
1994,Kentucky,KY,450640,316037,4,2,0
1994,Louisiana,LA,509947,432890,4,3,0
1994,Maine,ME,234070,235988,1,1,0
1994,Maryland,MD,682578,662312,4,4,0
1994,Massachusetts,MA,746353,1216531,2,8,0
1994,Michigan,MI,1532084,1418142,7,9,0
1994,Minnesota,MN,846950,883905,2,6,0
1994,Mississippi,MS,256424,354487,1,4,0
1994,Missouri,MO,834456,893783,3,6,0
1994,Montana,MT,148715,171372,0,1,0
1994,Nebraska,NE,365402,203062,3,0,0
1994,Nevada,NV,215971,137723,2,0,0
1994,New Hampshire,NH,180138,116724,2,0,0
1994,New Jersey,NJ,1098207,879855,8,5,0
1994,New Mexico,NM,263477,187532,2,1,0
1994,New York,NY,2249266,2178649,14,17,0
1994,North Carolina,NC,930390,718052,8,4,0
1994,North Dakota,ND,105988,123134,0,1,0
1994,Ohio,OH,1877290,1440270,13,6,0
1994,Oklahoma,OK,521609,404954,5,1,0
1994,Oregon,OR,498628,646589,2,3,0
1994,Pennsylvania,PA,1682092,1643151,10,11,0
1994,Rhode Island,RI,132417,209491,0,2,0
1994,South Carolina,SC,511259,353038,4,2,0
1994,South Dakota,SD,112054,183036,0,1,0
1994,Tennessee,TN,743873,647273,5,4,0
1994,Texas,TX,2214209,1871479,12,18,0
1994,Utah,UT,252300,216080,2,1,0
1994,Vermont,VT,71226,25118,0,0,1
1994,Virginia,VA,980525,861250,5,6,0
1994,Washington,WA,853712,826753,7,2,0
1994,West Virginia,WV,137663,268901,0,3,0
1994,Wisconsin,WI,843382,609078,6,3,0
1994,Wyoming,WY,104426,81022,1,0,0
