YEAR,STATE,XX,REP_V,DEM_V,REP_S,DEM_S,OTH_S
1980,Alabama,AL,439511,564801,3,4,0
1980,Alaska,AK,114089,39922,1,0,0
1980,Arizona,AZ,434024,394275,2,2,0
1980,Arkansas,AR,430826,309748,2,2,0
1980,California,CA,4178626,3665518,21,22,0
1980,Colorado,CO,619461,505654,2,3,0
1980,Connecticut,CT,640177,695255,2,4,0
1980,Delaware,DE,133842,81227,1,0,0
1980,Florida,FL,1457423,1873192,4,11,0
1980,Georgia,GA,449336,926487,1,9,0
1980,Hawaii,HI,35722,239733,0,2,0
1980,Idaho,ID,233041,182061,2,0,0
1980,Illinois,IL,2417747,2048658,14,10,0
1980,Indiana,IN,1099991,1087115,5,6,0
1980,Iowa,IA,609478,642763,3,3,0
1980,Kansas,KS,525212,404549,4,1,0
1980,Kentucky,KY,520036,564949,3,4,0
1980,Louisiana,LA,419695,356859,2,6,0
1980,Maine,ME,375073,137845,2,0,0
1980,Maryland,MD,537078,865969,1,7,0
1980,Massachusetts,MA,894868,1340579,2,10,0
1980,Michigan,MI,1656140,1885111,7,12,0
1980,Minnesota,MN,987147,905793,5,3,0
1980,Mississippi,MS,340015,415796,1,4,0
1980,Missouri,MO,940510,1110060,4,6,0
1980,Montana,MT,162305,176236,1,1,0
1980,Nebraska,NE,451328,167415,3,0,0
1980,Nevada,NV,63163,165099,0,1,0
1980,New Hampshire,NH,186869,177421,1,1,0
1980,New Jersey,NJ,1368981,1316100,7,8,0
1980,New Mexico,NM,187474,175988,2,0,0
1980,New York,NY,2688905,2623531,17,22,0
1980,North Carolina,NC,797683,926384,4,7,0
1980,North Dakota,ND,124707,166437,0,1,0
1980,Ohio,OH,2222039,1735439,13,10,0
1980,Oklahoma,OK,444863,567644,1,5,0
1980,Oregon,OR,438728,656737,1,3,0
1980,Pennsylvania,PA,2141597,2077430,13,11,1
1980,Rhode Island,RI,172901,213726,1,1,0
1980,South Carolina,SC,403998,408155,4,2,0
1980,South Dakota,SD,146146,173357,1,1,0
1980,Tennessee,TN,580177,712004,3,5,0
1980,Texas,TX,1884321,2159001,5,19,0
1980,Utah,UT,351996,232426,2,0,0
1980,Vermont,VT,114814,40863,1,0,0
1980,Virginia,VA,944368,563158,9,1,0
1980,Washington,WA,792816,816133,2,5,0
1980,West Virginia,WV,294846,390986,2,2,0
1980,Wisconsin,WI,1055472,1071978,4,5,0
1980,Wyoming,WY,116361,53338,1,0,0
