YEAR,STATE,XX,REP_V,DEM_V,REP_S,DEM_S,OTH_S
1982,Alabama,AL,337061,617520,2,5,0
1982,Alaska,AK,128274,52011,1,0,0
1982,Arizona,AZ,394872,300493,3,2,0
1982,Arkansas,AR,361772,397466,2,2,0
1982,California,CA,3682154,3736817,17,28,0
1982,Colorado,CO,484947,448295,3,3,0
1982,Connecticut,CT,485491,577340,2,4,0
1982,Delaware,DE,87153,98533,0,1,0
1982,Florida,FL,1092277,1568289,6,13,0
1982,Georgia,GA,289558,608622,1,9,0
1982,Hawaii,HI,62115,204373,0,2,0
1982,Idaho,ID,170150,150996,2,0,0
1982,Illinois,IL,1671309,2093272,10,12,0
1982,Indiana,IN,909731,882378,5,5,0
1982,Iowa,IA,475366,528726,3,3,0
1982,Kansas,KS,400837,345507,3,2,0
1982,Kentucky,KY,294034,401075,3,4,0
1982,Louisiana,LA,202831,288583,2,6,0
1982,Maine,ME,260925,186970,2,0,0
1982,Maryland,MD,348561,742600,1,7,0
1982,Massachusetts,MA,643205,1218638,1,10,0
1982,Michigan,MI,1188102,1576559,6,12,0
1982,Minnesota,MN,777584,956321,3,5,0
1982,Mississippi,MS,295876,332499,2,3,0
1982,Missouri,MO,653468,871682,3,6,0
1982,Montana,MT,142370,165902,1,1,0
1982,Nebraska,NE,352570,165985,3,0,0
1982,Nevada,NV,115863,114166,1,1,0
1982,New Hampshire,NH,153974,114187,1,1,0
1982,New Jersey,NJ,915472,1206416,5,9,0
1982,New Mexico,NM,191946,202802,2,1,0
1982,New York,NY,2035539,2454406,14,20,0
1982,North Carolina,NC,546291,760266,2,9,0
1982,North Dakota,ND,72241,186534,0,1,0
1982,Ohio,OH,1536724,1754122,11,10,0
1982,Oklahoma,OK,310186,539413,1,5,0
1982,Oregon,OR,436754,577949,2,3,0
1982,Pennsylvania,PA,1667095,1896983,10,13,0
1982,Rhode Island,RI,157535,174023,1,1,0
1982,South Carolina,SC,318645,331223,3,3,0
1982,South Dakota,SD,133530,142122,0,1,0
1982,Tennessee,TN,454826,713565,3,6,0
1982,Texas,TX,1150431,1614146,6,21,0
1982,Utah,UT,265994,191271,3,0,0
1982,Vermont,VT,114191,38296,1,0,0
1982,Virginia,VA,684898,635505,6,4,0
1982,Washington,WA,603916,689811,3,5,0
1982,West Virginia,WV,202380,343236,0,4,0
1982,Wisconsin,WI,645063,792357,4,5,0
1982,Wyoming,WY,113236,46041,1,0,0
