YEAR,STATE,XX,REP_V,DEM_V,REP_S,DEM_S,OTH_S
1984,Alabama,AL,464222,694874,2,5,0
1984,Alaska,AK,113582,86052,1,0,0
1984,Arizona,AZ,597297,329438,4,1,0
1984,Arkansas,AR,338582,316033,1,3,0
1984,California,CA,4426022,4449578,18,27,0
1984,Colorado,CO,731141,486848,4,2,0
1984,Connecticut,CT,761647,667668,3,3,0
1984,Delaware,DE,100650,142070,0,1,0
1984,Florida,FL,1889245,1828547,7,12,0
1984,Georgia,GA,581042,997418,2,8,0
1984,Hawaii,HI,40608,227261,0,2,0
1984,Idaho,ID,240202,164878,1,1,0
1984,Illinois,IL,2221217,2352931,9,13,0
1984,Indiana,IN,1144293,1019666,5,5,0
1984,Iowa,IA,673343,595265,4,2,0
1984,Kansas,KS,541886,435071,3,2,0
1984,Kentucky,KY,559220,611662,3,4,0
1984,Louisiana,LA,402222,413590,2,6,0
1984,Maine,ME,374951,162319,2,0,0
1984,Maryland,MD,549798,941883,2,6,0
1984,Massachusetts,MA,856160,1471118,1,10,0
1984,Michigan,MI,1648258,1786278,7,11,0
1984,Minnesota,MN,902268,1060800,3,5,0
1984,Mississippi,MS,431535,425202,2,3,0
1984,Missouri,MO,988778,1091679,3,6,0
1984,Montana,MT,178726,187443,1,1,0
1984,Nebraska,NE,482121,167617,3,0,0
1984,Nevada,NV,155166,109372,1,1,0
1984,New Hampshire,NH,248512,117071,2,0,0
1984,New Jersey,NJ,1470836,1508320,6,8,0
1984,New Mexico,NM,294165,201131,2,1,0
1984,New York,NY,2909123,3113671,15,19,0
1984,North Carolina,NC,1026391,1130979,5,6,0
1984,North Dakota,ND,65761,242968,0,1,0
1984,Ohio,OH,2205682,1952573,10,11,0
1984,Oklahoma,OK,458053,645537,1,5,0
1984,Oregon,OR,548201,655092,2,3,0
1984,Pennsylvania,PA,2182425,2475577,10,13,0
1984,Rhode Island,RI,195077,194942,1,1,0
1984,South Carolina,SC,477600,437193,3,3,0
1984,South Dakota,SD,134821,181401,0,1,0
1984,Tennessee,TN,615468,708852,3,6,0
1984,Texas,TX,2512233,2409872,10,17,0
1984,Utah,UT,387410,208223,3,0,0
1984,Vermont,VT,148025,60360,1,0,0
1984,Virginia,VA,997486,804218,6,4,0
1984,Washington,WA,799565,996950,3,5,0
1984,West Virginia,WV,275160,429209,0,4,0
1984,Wisconsin,WI,1084097,983539,4,5,0
1984,Wyoming,WY,138234,45857,1,0,0
