YEAR,STATE,XX,REP_V,DEM_V,REP_S,DEM_S,OTH_S
1974,Alabama,AL,241751,306567,3,4,0
1974,Alaska,AK,51641,44280,1,0,0
1974,Arizona,AZ,266117,269489,3,1,0
1974,Arkansas,AR,182538,330448,1,3,0
1974,California,CA,2510428,3275403,15,28,0
1974,Colorado,CO,364372,413434,2,3,0
1974,Connecticut,CT,440207,620029,2,4,0
1974,Delaware,DE,93826,63490,1,0,0
1974,Florida,FL,759218,917410,5,10,0
1974,Georgia,GA,272862,548205,0,10,0
1974,Hawaii,HI,100959,158468,0,2,0
1974,Idaho,ID,142678,107600,2,0,0
1974,Illinois,IL,1247337,1605934,11,13,0
1974,Indiana,IN,770154,956675,2,9,0
1974,Iowa,IA,413230,488214,1,5,0
1974,Kansas,KS,417956,325400,4,1,0
1974,Kentucky,KY,233637,425272,2,5,0
1974,Louisiana,LA,250946,427904,2,6,0
1974,Maine,ME,212357,140923,2,0,0
1974,Maryland,MD,356386,543123,3,5,0
1974,Massachusetts,MA,566666,958214,2,10,0
1974,Michigan,MI,1019544,1465259,7,12,0
1974,Minnesota,MN,491912,705139,3,5,0
1974,Mississippi,MS,164245,171906,2,3,0
1974,Missouri,MO,396617,809719,1,9,0
1974,Montana,MT,105162,148984,0,2,0
1974,Nebraska,NE,236076,211496,3,0,0
1974,Nevada,NV,61182,93665,0,1,0
1974,New Hampshire,NH,122678,96851,1,1,0
1974,New Jersey,NJ,748115,1287516,3,12,0
1974,New Mexico,NM,149313,162095,1,1,0
1974,New York,NY,2001110,2685961,12,27,0
1974,North Carolina,NC,403420,640864,2,9,0
1974,North Dakota,ND,130184,103504,1,0,0
1974,Ohio,OH,1444843,1434467,15,8,0
1974,Oklahoma,OK,242804,404160,1,5,0
1974,Oregon,OR,270319,482462,0,4,0
1974,Pennsylvania,PA,1457128,1939910,11,14,0
1974,Rhode Island,RI,73824,230047,0,2,0
1974,South Carolina,SC,212893,301516,1,5,0
1974,South Dakota,SD,167012,105458,2,0,0
1974,Tennessee,TN,433012,461092,3,5,0
1974,Texas,TX,483579,948188,3,21,0
1974,Utah,UT,163066,230532,0,2,0
1974,Vermont,VT,74561,53701,1,0,0
1974,Virginia,VA,415567,457887,5,5,0
1974,Washington,WA,400557,574055,1,6,0
1974,West Virginia,WV,144213,282307,0,4,0
1974,Wisconsin,WI,475292,703992,2,7,0
1974,Wyoming,WY,57499,69434,0,1,0
