YEAR,STATE,XX,REP_V,DEM_V,REP_S,DEM_S,OTH_S
2010,Alabama,AL,816403,521461,6,1,0
2010,Alaska,AK,175384,77606,1,0,0
2010,Arizona,AZ,900510,711837,5,3,0
2010,Arkansas,AR,435422,317975,3,1,0
2010,California,CA,4113391,5235037,19,34,0
2010,Colorado,CO,884032,800900,4,3,0
2010,Connecticut,CT,457976,667983,0,5,0
2010,Delaware,DE,125442,173543,0,1,0
2010,Florida,FL,2979321,2045738,19,6,0
2010,Georgia,GA,1416503,1058490,8,5,0
2010,Hawaii,HI,129127,226430,0,2,0
2010,Idaho,ID,263699,150884,2,0,0
2010,Illinois,IL,1720016,1876316,11,8,0
2010,Indiana,IN,972671,679462,6,3,0
2010,Iowa,IA,597414,479874,2,3,0
2010,Kansas,KS,533177,274992,4,0,0
2010,Kentucky,KY,844369,506319,4,2,0
2010,Louisiana,LA,779114,392412,6,1,0
2010,Maine,ME,248170,316156,0,2,0
2010,Maryland,MD,674246,1104056,2,6,0
2010,Massachusetts,MA,834468,1310232,0,10,0
2010,Michigan,MI,1671707,1415212,9,6,0
2010,Minnesota,MN,1055557,1002026,4,4,0
2010,Mississippi,MS,427871,350695,3,1,0
2010,Missouri,MO,1048374,766212,6,3,0
2010,Montana,MT,217696,121954,1,0,0
2010,Nebraska,NE,327986,137524,3,0,0
2010,Nevada,NV,357369,317835,2,1,0
2010,New Hampshire,NH,230265,200563,2,0,0
2010,New Jersey,NJ,1055299,1024730,6,7,0
2010,New Mexico,NM,288885,307766,1,2,0
2010,New York,NY,1812376,2569433,8,21,0
2010,North Carolina,NC,1440913,1204635,6,7,0
2010,North Dakota,ND,129802,106542,1,0,0
2010,Ohio,OH,2053075,1611112,13,5,0
2010,Oklahoma,OK,616899,307191,4,1,0
2010,Oregon,OR,657007,733369,1,4,0
2010,Pennsylvania,PA,2054784,1863045,12,7,0
2010,Rhode Island,RI,126951,185711,0,2,0
2010,South Carolina,SC,756421,548069,5,1,0
2010,South Dakota,SD,153703,146589,1,0,0
2010,Tennessee,TN,955078,541527,7,2,0
2010,Texas,TX,2865684,1662363,23,9,0
2010,Utah,UT,390969,218236,2,1,0
2010,Vermont,VT,76403,154006,0,1,0
2010,Virginia,VA,1149256,951920,8,3,0
2010,Washington,WA,1180654,1253086,4,5,0
2010,West Virginia,WV,283085,227857,2,1,0
2010,Wisconsin,WI,1165761,938690,5,3,0
2010,Wyoming,WY,131661,45768,1,0,0
