YEAR,STATE,XX,REP_V,DEM_V,REP_S,DEM_S,OTH_S
1976,Alabama,AL,395606,589815,3,4,0
1976,Alaska,AK,83722,34194,1,0,0
1976,Arizona,AZ,340478,355747,2,2,0
1976,Arkansas,AR,248709,445075,1,3,0
1976,California,CA,3249692,4153627,14,29,0
1976,Colorado,CO,536781,456103,2,3,0
1976,Connecticut,CT,651929,681730,2,4,0
1976,Delaware,DE,110677,102431,1,0,0
1976,Florida,FL,1192742,1548643,5,10,0
1976,Georgia,GA,411133,854116,0,10,0
1976,Hawaii,HI,77662,184166,0,2,0
1976,Idaho,ID,180008,161899,2,0,0
1976,Illinois,IL,2112868,2246614,12,12,0
1976,Indiana,IN,998346,1175228,3,8,0
1976,Iowa,IA,526677,709435,2,4,0
1976,Kansas,KS,545240,348621,3,2,0
1976,Kentucky,KY,405995,579398,2,5,0
1976,Louisiana,LA,459014,583011,3,5,0
1976,Maine,ME,314815,151255,2,0,0
1976,Maryland,MD,486237,777345,3,5,0
1976,Massachusetts,MA,835775,1405836,2,10,0
1976,Michigan,MI,1503114,1898241,8,11,0
1976,Minnesota,MN,787485,983936,4,4,0
1976,Mississippi,MS,291705,360270,2,3,0
1976,Missouri,MO,812238,1080807,2,8,0
1976,Montana,MT,140446,180459,1,1,0
1976,Nebraska,NE,385630,211007,2,1,0
1976,Nevada,NV,24124,153996,0,1,0
1976,New Hampshire,NH,148998,173598,1,1,0
1976,New Jersey,NJ,1217932,1538658,4,11,0
1976,New Mexico,NM,214718,185363,1,1,0
1976,New York,NY,2438666,3355884,12,27,0
1976,North Carolina,NC,613515,960215,2,9,0
1976,North Dakota,ND,181018,104263,1,0,0
1976,Ohio,OH,1945033,1792249,13,10,0
1976,Oklahoma,OK,372221,683273,1,5,0
1976,Oregon,OR,306498,559517,0,4,0
1976,Pennsylvania,PA,1956871,2460987,8,17,0
1976,Rhode Island,RI,113518,271127,0,2,0
1976,South Carolina,SC,312118,471135,1,5,0
1976,South Dakota,SD,221188,72501,2,0,0
1976,Tennessee,TN,555463,684867,3,5,0
1976,Texas,TX,1426039,2273221,2,22,0
1976,Utah,UT,251403,266562,1,1,0
1976,Vermont,VT,124458,57053,1,0,0
1976,Virginia,VA,678446,664569,6,4,0
1976,Washington,WA,585719,817948,2,5,0
1976,West Virginia,WV,212571,439234,0,4,0
1976,Wisconsin,WI,811215,1140766,2,7,0
1976,Wyoming,WY,66147,85721,0,1,0
