YEAR,STATE,XX,REP_V,DEM_V,REP_S,DEM_S,OTH_S
1988,Alabama,AL,467567,696839,2,5,0
1988,Alaska,AK,120595,71881,1,0,0
1988,Arizona,AZ,699636,388884,4,1,0
1988,Arkansas,AR,307040,455414,2,2,0
1988,California,CA,4278323,4849427,18,27,0
1988,Colorado,CO,667091,645469,3,3,0
1988,Connecticut,CT,676817,660360,3,3,0
1988,Delaware,DE,76179,158338,0,1,0
1988,Florida,FL,2080905,1998701,11,8,0
1988,Georgia,GA,629618,1120234,1,9,0
1988,Hawaii,HI,130354,188964,1,1,0
1988,Idaho,ID,203447,198284,1,1,0
1988,Illinois,IL,2049656,2318005,8,14,0
1988,Indiana,IN,1023124,1097030,3,7,0
1988,Iowa,IA,606647,580200,4,2,0
1988,Kansas,KS,550947,425015,3,2,0
1988,Kentucky,KY,571353,528991,3,4,0
1988,Louisiana,LA,502293,426614,4,4,0
1988,Maine,ME,278354,276335,1,1,0
1988,Maryland,MD,640196,934577,2,6,0
1988,Massachusetts,MA,783643,1556396,1,10,0
1988,Michigan,MI,1608507,1824103,7,11,0
1988,Minnesota,MN,809624,1148700,3,5,0
1988,Mississippi,MS,307555,606715,0,5,0
1988,Missouri,MO,909599,1148292,4,5,0
1988,Montana,MT,171870,193347,1,1,0
1988,Nebraska,NE,425726,229524,2,1,0
1988,Nevada,NV,159569,176927,1,1,0
1988,New Hampshire,NH,251272,176223,2,0,0
1988,New Jersey,NJ,1465920,1335600,6,8,0
1988,New Mexico,NM,239505,267322,2,1,0
1988,New York,NY,2556457,2864119,13,21,0
1988,North Carolina,NC,986045,1124559,3,8,0
1988,North Dakota,ND,84475,212583,0,1,0
1988,Ohio,OH,2107955,2207046,10,11,0
1988,Oklahoma,OK,436797,665494,2,4,0
1988,Oregon,OR,389220,635109,2,3,0
1988,Pennsylvania,PA,2149056,2176694,11,12,0
1988,Rhode Island,RI,250724,140270,2,0,0
1988,South Carolina,SC,439476,549652,2,4,0
1988,South Dakota,SD,88157,223759,0,1,0
1988,Tennessee,TN,653355,729818,3,6,0
1988,Texas,TX,2274597,2516536,8,19,0
1988,Utah,UT,341056,260123,2,1,0
1988,Vermont,VT,98937,45330,1,0,0
1988,Virginia,VA,1026549,852446,5,5,0
1988,Washington,WA,811378,964521,3,5,0
1988,West Virginia,WV,188479,423500,0,4,0
1988,Wisconsin,WI,1046369,988503,4,5,0
1988,Wyoming,WY,118350,56527,1,0,0
