YEAR,STATE,XX,REP_V,DEM_V,REP_S,DEM_S,OTH_S
1990,Alabama,AL,371222,637613,2,5,0
1990,Alaska,AK,99003,91677,1,0,0
1990,Arizona,AZ,565313,401343,4,1,0
1990,Arkansas,AR,295825,369144,1,3,0
1990,California,CA,3309331,3652750,19,26,0
1990,Colorado,CO,487326,503549,3,3,0
1990,Connecticut,CT,545751,489206,3,3,0
1990,Delaware,DE,58037,116274,0,1,0
1990,Florida,FL,1656956,1646840,10,9,0
1990,Georgia,GA,538865,854784,1,9,0
1990,Hawaii,HI,117605,215772,0,2,0
1990,Idaho,ID,131450,183062,0,2,0
1990,Illinois,IL,1291542,1709905,7,15,0
1990,Indiana,IN,682593,830500,2,8,0
1990,Iowa,IA,424083,366492,4,2,0
1990,Kansas,KS,387180,393671,3,2,0
1990,Kentucky,KY,401877,394791,3,4,0
1990,Louisiana,LA,574425,622784,4,4,0
1990,Maine,ME,232540,284421,1,1,0
1990,Maryland,MD,517386,565669,3,5,0
1990,Massachusetts,MA,776502,1213258,0,11,0
1990,Michigan,MI,1128577,1283853,7,11,0
1990,Minnesota,MN,736497,1042201,2,6,0
1990,Mississippi,MS,102791,348906,0,5,0
1990,Missouri,MO,624602,727950,3,6,0
1990,Montana,MT,160286,157148,1,1,0
1990,Nebraska,NE,309106,276724,2,1,0
1990,Nevada,NV,150885,144231,1,1,0
1990,New Hampshire,NH,148909,141042,1,1,0
1990,New Jersey,NJ,966731,784911,6,8,0
1990,New Mexico,NM,213975,197951,2,1,0
1990,New York,NY,1578606,1836320,13,21,0
1990,North Carolina,NC,935054,1076340,4,7,0
1990,North Dakota,ND,81443,152530,0,1,0
1990,Ohio,OH,1630920,1780516,10,11,0
1990,Oklahoma,OK,337590,519047,2,4,0
1990,Oregon,OR,396538,612948,1,4,0
1990,Pennsylvania,PA,1421533,1573470,12,11,0
1990,Rhode Island,RI,164916,181949,1,1,0
1990,South Carolina,SC,294531,366358,2,4,0
1990,South Dakota,SD,83484,173814,0,1,0
1990,Tennessee,TN,294992,374177,3,6,0
1990,Texas,TX,1782367,1883713,8,19,0
1990,Utah,UT,191067,233821,1,2,0
1990,Vermont,VT,6315,82938,0,0,1
1990,Virginia,VA,544629,536618,4,6,0
1990,Washington,WA,596407,696275,3,5,0
1990,West Virginia,WV,157652,258249,0,4,0
1990,Wisconsin,WI,601788,652673,5,4,0
1990,Wyoming,WY,87078,70977,1,0,0
