YEAR,STATE,XX,REP_V,DEM_V,REP_S,DEM_S,OTH_S
1986,Alabama,AL,408548,732898,2,5,0
1986,Alaska,AK,101799,74053,1,0,0
1986,Arizona,AZ,525551,312514,4,1,0
1986,Arkansas,AR,268291,386672,1,3,0
1986,California,CA,3357365,3715185,18,27,0
1986,Colorado,CO,566235,449683,3,3,0
1986,Connecticut,CT,433977,544938,3,3,0
1986,Delaware,DE,53767,106351,0,1,0
1986,Florida,FL,1443433,1676066,7,12,0
1986,Georgia,GA,377477,706774,2,8,0
1986,Hawaii,HI,135036,186876,1,1,0
1986,Idaho,ID,208153,162758,1,1,0
1986,Illinois,IL,1372553,1660364,9,13,0
1986,Indiana,IN,756105,788419,4,6,0
1986,Iowa,IA,461455,428022,4,2,0
1986,Kansas,KS,463227,363265,3,2,0
1986,Kentucky,KY,275139,360110,3,4,0
1986,Louisiana,LA,442935,505430,4,4,0
1986,Maine,ME,249030,165462,1,1,0
1986,Maryland,MD,394393,668669,2,6,0
1986,Massachusetts,MA,492031,968164,1,10,0
1986,Michigan,MI,977122,1342034,7,11,0
1986,Minnesota,MN,557741,831715,3,5,0
1986,Mississippi,MS,231786,336633,1,4,0
1986,Missouri,MO,651214,820572,4,5,0
1986,Montana,MT,145778,172084,1,1,0
1986,Nebraska,NE,358326,196691,3,0,0
1986,Nevada,NV,133821,121263,1,1,0
1986,New Hampshire,NH,156218,84475,2,0,0
1986,New Jersey,NJ,744928,798955,6,8,0
1986,New Mexico,NM,206823,178822,2,1,0
1986,New York,NY,1747206,1998306,14,20,0
1986,North Carolina,NC,682447,890058,3,8,0
1986,North Dakota,ND,66989,216258,0,1,0
1986,Ohio,OH,1550065,1541056,10,11,0
1986,Oklahoma,OK,332771,512683,2,4,0
1986,Oregon,OR,446462,584763,2,3,0
1986,Pennsylvania,PA,1571556,1706698,11,12,0
1986,Rhode Island,RI,175940,129660,1,1,0
1986,South Carolina,SC,288708,426461,2,4,0
1986,South Dakota,SD,118261,171462,0,1,0
1986,Tennessee,TN,488829,599203,3,6,0
1986,Texas,TX,1516060,1695226,10,17,0
1986,Utah,UT,229717,196683,2,1,0
1986,Vermont,VT,114967,48872,1,0,0
1986,Virginia,VA,517797,508613,5,5,0
1986,Washington,WA,527158,767678,3,5,0
1986,West Virginia,WV,133706,293462,0,4,0
1986,Wisconsin,WI,702671,672693,4,5,0
1986,Wyoming,WY,111007,48780,1,0,0
