XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.432538,2,0.079361,637304.285714,8,2,0.115075,557641.250000
AK,1,0.472837,0,0.445675,628933.000000,1,0,0.445675,628933.000000
AZ,8,0.508066,5,0.108868,642585.375000,9,5,0.039424,571187.000000
AR,4,0.595133,3,0.059733,669933.250000,5,3,0.090267,535946.600000
CA,53,0.606918,34,0.072327,640203.735849,58,36,0.093147,585013.758621
CO,7,0.559738,5,0.094810,615983.142857,7,5,0.094810,615983.142857
CT,5,0.642895,5,0.214211,681907.000000,6,5,0.047544,568255.833333
DE,1,0.383465,0,0.266929,785068.000000,1,0,0.266929,785068.000000
FL,25,0.489397,10,0.078794,641155.600000,27,11,0.071387,593662.592593
GA,13,0.482620,6,0.003701,631305.769231,14,6,0.036668,586212.500000
HI,2,0.794930,2,0.089859,608321.000000,2,2,0.089859,608321.000000
ID,2,0.407658,1,0.184684,648637.000000,2,1,0.184684,648637.000000
IL,19,0.607064,12,0.082549,654686.421053,21,13,0.095080,592335.333333
IN,9,0.528214,5,0.000873,676753.555556,10,5,0.056429,609078.200000
IA,5,0.520998,3,0.058003,586384.600000,5,3,0.058003,586384.600000
KS,4,0.405187,1,0.060373,673456.000000,5,1,0.110373,538764.800000
KY,6,0.462079,2,0.090824,674905.166667,7,2,0.138443,578490.142857
LA,7,0.430617,1,0.218378,640038.714286,8,2,0.111235,560033.875000
ME,2,0.608228,2,0.283545,638865.500000,2,2,0.283545,638865.500000
MD,8,0.687474,7,0.000052,663485.750000,9,7,0.097171,589765.111111
MA,10,0.710668,10,0.078663,635556.800000,11,10,0.012246,577778.909091
MI,15,0.532238,8,0.031142,663721.933333,17,8,0.093887,585637.000000
MN,8,0.601336,5,0.077672,615708.750000,8,5,0.077672,615708.750000
MS,4,0.581197,3,0.087607,713231.750000,5,3,0.062393,570585.400000
MO,9,0.499300,4,0.054156,622917.777778,10,4,0.098600,560626.000000
MT,1,0.335767,0,0.171533,905316.000000,2,0,0.171533,452658.000000
NE,3,0.341612,0,0.183223,571789.666667,3,0,0.183223,571789.666667
NV,3,0.543867,2,0.078934,667344.000000,3,2,0.078934,667344.000000
NH,2,0.553241,2,0.393517,619207.500000,2,2,0.393517,619207.500000
NJ,13,0.555948,8,0.003489,648027.230769,14,8,0.040467,601739.571429
NM,3,0.587413,3,0.325175,607940.333333,3,3,0.325175,607940.333333
NY,29,0.676562,26,0.043429,655343.896552,33,26,0.065244,575908.272727
NC,13,0.546771,8,0.021843,620590.230769,14,8,0.022113,576262.357143
ND,1,0.619741,1,0.260518,643756.000000,1,1,0.260518,643756.000000
OH,18,0.524851,10,0.005854,631918.888889,19,10,0.023385,598660.000000
OK,5,0.385573,1,0.071146,691763.800000,6,1,0.104480,576469.833333
OR,5,0.612458,4,0.075083,685708.600000,6,4,0.058250,571423.833333
PA,19,0.550101,12,0.031376,647403.684211,21,12,0.028774,585746.190476
RI,2,0.718843,2,0.062315,524831.000000,2,2,0.062315,524831.000000
SC,6,0.494575,2,0.155816,670843.500000,7,3,0.060578,575008.714286
SD,1,0.675557,1,0.148885,756874.000000,1,1,0.148885,756874.000000
TN,9,0.495456,5,0.064644,633337.444444,10,5,0.009089,570003.700000
TX,32,0.448533,12,0.022065,653249.812500,36,12,0.063732,580666.500000
UT,3,0.438644,2,0.289379,745571.333333,4,2,0.122712,559178.500000
VT,1,0.699999,1,0.100001,609890.000000,1,1,0.100001,609890.000000
VA,11,0.511812,6,0.021831,645518.363636,12,6,0.023623,591725.166667
WA,9,0.591984,6,0.017302,656520.444444,10,6,0.083968,590868.400000
WV,3,0.595250,2,0.023834,604359.000000,3,2,0.023834,604359.000000
WI,8,0.525512,5,0.073976,671401.250000,9,5,0.004532,596801.111111
WY,1,0.448559,0,0.397119,495304.000000,1,0,0.397119,495304.000000
