XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,637304.285714,10,446113.000000,0.407840,1,0.264983,4,0.007840
AK,1,628933.000000,1,628933.000000,0.306755,0,0.306755,0,0.306755
AZ,8,642585.375000,11,467334.818182,0.441491,3,0.066491,5,0.013054
AR,4,669933.250000,6,446622.166667,0.422055,1,0.172055,3,0.077945
CA,53,640203.735849,72,471261.083333,0.557295,34,0.084214,40,0.001739
CO,7,615983.142857,9,479098.000000,0.475331,3,0.046759,4,0.030886
CT,5,681907.000000,7,487076.428571,0.580962,5,0.419038,5,0.133323
DE,1,785068.000000,2,392534.000000,0.580440,1,0.419560,1,0.080440
FL,25,641155.600000,34,471437.941176,0.404719,6,0.164719,14,0.007046
GA,13,631305.769231,17,482763.235294,0.433566,5,0.048951,7,0.021801
HI,2,608321.000000,3,405547.333333,0.636832,2,0.363168,2,0.029835
ID,2,648637.000000,3,432424.666667,0.363942,0,0.363942,1,0.030608
IL,19,654686.421053,26,478424.692308,0.521730,8,0.100678,14,0.016731
IN,9,676753.555556,13,468521.692308,0.411263,3,0.077930,5,0.026648
IA,5,586384.600000,6,488653.833333,0.445446,3,0.154554,3,0.054554
KS,4,673456.000000,6,448970.666667,0.342401,0,0.342401,2,0.009068
KY,6,674905.166667,9,449936.777778,0.374860,2,0.041527,3,0.041527
LA,7,640038.714286,10,448027.100000,0.342610,1,0.199752,3,0.042610
ME,2,638865.500000,3,425910.333333,0.560236,2,0.439764,2,0.106430
MD,8,663485.750000,11,482535.090909,0.620848,6,0.129152,7,0.015515
MA,10,635556.800000,14,453969.142857,0.608259,10,0.391741,10,0.106027
MI,15,663721.933333,21,474087.095238,0.458455,6,0.058455,10,0.017736
MN,8,615708.750000,11,447788.181818,0.507929,4,0.007929,6,0.037525
MS,4,713231.750000,6,475487.833333,0.452934,1,0.202934,3,0.047066
MO,9,622917.777778,12,467188.333333,0.413485,3,0.080151,5,0.003182
MT,1,905316.000000,2,452658.000000,0.359058,0,0.359058,1,0.140942
NE,3,571789.666667,4,428842.250000,0.295427,0,0.295427,1,0.045427
NV,3,667344.000000,4,500508.000000,0.470724,1,0.137391,2,0.029276
NH,2,619207.500000,3,412805.000000,0.465529,0,0.465529,1,0.132196
NJ,13,648027.230769,18,468019.666667,0.492652,7,0.045810,9,0.007348
NM,3,607940.333333,4,455955.250000,0.515822,2,0.150844,2,0.015822
NY,29,655343.896552,40,475124.325000,0.613792,21,0.110346,25,0.011208
NC,13,620590.230769,17,474569.000000,0.455344,7,0.083117,8,0.015244
ND,1,643756.000000,1,643756.000000,0.450792,0,0.450792,0,0.450792
OH,18,631918.888889,24,473939.166667,0.439692,5,0.161914,11,0.018642
OK,5,691763.800000,7,494117.000000,0.344634,1,0.144634,2,0.058920
OR,5,685708.600000,7,489791.857143,0.527461,4,0.272539,4,0.043968
PA,19,647403.684211,26,473102.692308,0.472843,7,0.104422,12,0.011304
RI,2,524831.000000,2,524831.000000,0.593967,2,0.406033,2,0.406033
SC,6,670843.500000,9,447229.000000,0.416125,1,0.249458,4,0.028320
SD,1,756874.000000,2,378437.000000,0.488155,0,0.488155,1,0.011845
TN,9,633337.444444,12,475003.083333,0.361837,2,0.139615,4,0.028504
TX,32,653249.812500,45,464533.200000,0.366313,9,0.085063,16,0.010757
UT,3,745571.333333,5,447342.800000,0.358231,1,0.024897,2,0.041769
VT,1,609890.000000,1,609890.000000,0.668403,1,0.331597,1,0.331597
VA,11,645518.363636,15,473380.133333,0.447421,3,0.174694,7,0.019245
WA,9,656520.444444,13,454514.153846,0.512173,5,0.043383,7,0.026289
WV,3,604359.000000,4,453269.250000,0.445955,1,0.112621,2,0.054045
WI,8,671401.250000,11,488291.818182,0.446050,3,0.071050,5,0.008496
WY,1,495304.000000,1,495304.000000,0.257951,0,0.257951,0,0.257951
