XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.444467,2,0.158752,637304.285714,10,4,0.044467,446113.000000
AK,1,0.414254,0,0.414254,628933.000000,1,0,0.414254,628933.000000
AZ,8,0.448521,4,0.051479,642585.375000,11,5,0.006024,467334.818182
AR,4,0.598378,3,0.151622,669933.250000,6,4,0.068289,446622.166667
CA,53,0.587482,34,0.054027,640203.735849,72,42,0.004149,471261.083333
CO,7,0.571750,4,0.000321,615983.142857,9,5,0.016194,479098.000000
CT,5,0.607042,4,0.192958,681907.000000,7,4,0.035613,487076.428571
DE,1,0.404059,0,0.404059,785068.000000,2,1,0.095941,392534.000000
FL,25,0.422959,9,0.062959,641155.600000,34,14,0.011194,471437.941176
GA,13,0.450269,6,0.011269,631305.769231,17,8,0.020319,482763.235294
HI,2,0.650433,2,0.349567,608321.000000,3,2,0.016233,405547.333333
ID,2,0.416883,0,0.416883,648637.000000,3,1,0.083550,432424.666667
IL,19,0.579311,11,0.000363,654686.421053,26,15,0.002387,478424.692308
IN,9,0.494125,5,0.061431,676753.555556,13,6,0.032586,468521.692308
IA,5,0.485497,3,0.114503,586384.600000,6,3,0.014503,488653.833333
KS,4,0.445636,2,0.054364,673456.000000,6,3,0.054364,448970.666667
KY,6,0.495856,2,0.162523,674905.166667,9,4,0.051412,449936.777778
LA,7,0.347903,3,0.080669,640038.714286,10,3,0.047903,448027.100000
ME,2,0.682488,2,0.317512,638865.500000,3,2,0.015821,425910.333333
MD,8,0.667824,6,0.082176,663485.750000,11,7,0.031461,482535.090909
MA,10,0.891554,10,0.108446,635556.800000,14,12,0.034411,453969.142857
MI,15,0.542079,6,0.142079,663721.933333,21,11,0.018269,474087.095238
MN,8,0.554876,5,0.070124,615708.750000,11,6,0.009422,447788.181818
MS,4,0.461056,2,0.038944,713231.750000,6,3,0.038944,475487.833333
MO,9,0.486019,4,0.041574,622917.777778,12,6,0.013981,467188.333333
MT,1,0.399246,0,0.399246,905316.000000,2,1,0.100754,452658.000000
NE,3,0.439382,0,0.439382,571789.666667,4,1,0.189382,428842.250000
NV,3,0.525139,0,0.525139,667344.000000,4,1,0.275139,500508.000000
NH,2,0.524833,2,0.475167,619207.500000,3,2,0.141834,412805.000000
NJ,13,0.572149,7,0.033687,648027.230769,18,10,0.016593,468019.666667
NM,3,0.558310,1,0.224977,607940.333333,4,2,0.058310,455955.250000
NY,29,0.686213,23,0.106891,655343.896552,40,27,0.011213,475124.325000
NC,13,0.529117,7,0.009344,620590.230769,17,9,0.000295,474569.000000
ND,1,0.656802,1,0.343198,643756.000000,1,1,0.343198,643756.000000
OH,18,0.526738,7,0.137849,631918.888889,24,13,0.014928,473939.166667
OK,5,0.418546,1,0.218546,691763.800000,7,3,0.010026,494117.000000
OR,5,0.578726,4,0.221274,685708.600000,7,4,0.007297,489791.857143
PA,19,0.562724,11,0.016224,647403.684211,26,15,0.014200,473102.692308
RI,2,0.863631,2,0.136369,524831.000000,2,2,0.136369,524831.000000
SC,6,0.440832,2,0.107499,670843.500000,9,4,0.003613,447229.000000
SD,1,0.701936,1,0.298064,756874.000000,2,1,0.201936,378437.000000
TN,9,0.518464,5,0.037092,633337.444444,12,6,0.018464,475003.083333
TX,32,0.466448,12,0.091448,653249.812500,45,21,0.000219,464533.200000
UT,3,0.455515,1,0.122181,745571.333333,5,2,0.055515,447342.800000
VT,1,0.544370,1,0.455630,609890.000000,1,1,0.455630,609890.000000
VA,11,0.436475,3,0.163747,645518.363636,15,7,0.030192,473380.133333
WA,9,0.609223,6,0.057443,656520.444444,13,8,0.006161,454514.153846
WV,3,0.580192,2,0.086475,604359.000000,4,2,0.080192,453269.250000
WI,8,0.490966,5,0.134034,671401.250000,11,5,0.036421,488291.818182
WY,1,0.497275,0,0.497275,495304.000000,1,0,0.497275,495304.000000
