HOUSE SEAT,PRIORITY VALUE,STATE,STATE SEAT
51,27984993,CA,2
52,20635702,TX,2
53,16157143,CA,3
54,15252666,FL,2
55,14294695,NY,2
56,11914028,TX,3
57,11424826,CA,4
58,9200763,PA,2
59,9067046,IL,2
60,8849632,CA,5
61,8806131,FL,3
62,8424490,TX,4
63,8350116,OH,2
64,8253046,NY,3
65,7583914,GA,2
66,7392058,NC,2
67,7225694,CA,6
68,7130777,MI,2
69,6572199,NJ,2
70,6525582,TX,5
71,6226875,FL,4
72,6119685,VA,2
73,6106826,CA,7
74,5835785,NY,4
75,5455998,WA,2
76,5328115,TX,6
77,5312063,PA,3
78,5288667,CA,8
79,5234861,IL,3
80,5062123,AZ,2
81,4973414,MA,2
82,4890985,TN,2
83,4823316,FL,5
84,4820942,OH,3
85,4801453,IN,2
86,4664166,CA,9
87,4520379,NY,5
88,4503079,TX,7
89,4378575,GA,3
90,4373652,MD,2
91,4355976,MO,2
92,4267806,NC,3
93,4171756,CA,10
94,4170143,WI,2
95,4116956,MI,3
96,4088612,CO,2
97,4037404,MN,2
98,3938221,FL,6
99,3899781,TX,8
100,3794461,NJ,3
101,3773496,CA,11
102,3756196,PA,4
103,3701606,IL,4
104,3690874,NY,6
105,3623719,SC,2
106,3556785,AL,2
107,3533202,VA,3
108,3444715,CA,12
109,3439284,TX,9
110,3408921,OH,4
111,3328405,FL,7
112,3296156,LA,2
113,3188586,KY,2
114,3168677,CA,13
115,3150022,WA,3
116,3119358,NY,7
117,3096120,GA,4
118,3076189,TX,10
119,3017795,NC,4
120,2999193,OR,2
121,2933624,CA,14
122,2922618,AZ,3
123,2911128,MI,4
124,2909537,PA,5
125,2882483,FL,8
126,2871402,MA,3
127,2867252,IL,5
128,2823811,TN,3
129,2802629,OK,2
130,2782518,TX,11
131,2772120,IN,3
132,2731056,CA,15
133,2701443,NY,8
134,2683089,NJ,4
135,2640539,OH,5
136,2554669,CA,16
137,2551452,CT,2
138,2542111,FL,9
139,2540079,TX,12
140,2525129,MD,3
141,2514924,MO,3
142,2498351,VA,4
143,2407633,WI,3
144,2399693,CA,17
145,2398244,GA,5
146,2382449,NY,9
147,2375627,PA,6
148,2360561,CO,3
149,2341101,IL,6
150,2337574,NC,5
151,2336533,TX,13
152,2330996,MN,3
153,2315953,UT,2
154,2273733,FL,10
155,2262453,CA,18
156,2257372,IA,2
157,2254950,MI,5
158,2227402,WA,4
159,2198015,NV,2
160,2163209,TX,14
161,2155991,OH,6
162,2140066,CA,19
163,2131047,AR,2
164,2130927,NY,10
165,2095804,MS,2
166,2092155,SC,3
167,2079506,KS,2
168,2078312,NJ,5
169,2066603,AZ,4
170,2056669,FL,11
171,2053511,AL,3
172,2030388,MA,4
173,2030245,CA,20
174,2013838,TX,15
175,2007771,PA,7
176,1996736,TN,4
177,1978592,IL,7
178,1960185,IN,4
179,1958158,GA,6
180,1935214,VA,5
181,1931148,CA,21
182,1927496,NY,11
183,1908621,NC,6
184,1903036,LA,3
185,1883773,TX,16
186,1877473,FL,12
187,1841277,CA,22
188,1841159,MI,6
189,1840931,KY,3
190,1822145,OH,7
191,1785536,MD,4
192,1778320,MO,4
193,1769497,TX,17
194,1759555,NY,12
195,1759401,CA,23
196,1738781,PA,8
197,1731585,OR,3
198,1727024,FL,13
199,1725338,WA,5
200,1713511,IL,8
201,1702454,WI,4
202,1696934,NJ,6
203,1684499,CA,24
204,1669169,CO,4
205,1668298,TX,18
206,1654946,GA,7
207,1648263,MN,4
208,1618555,NY,13
209,1618099,OK,3
210,1615714,CA,25
211,1613079,NC,7
212,1600784,AZ,5
213,1598914,FL,14
214,1580096,VA,6
215,1578052,TX,19
216,1578024,OH,8
217,1572731,MA,5
218,1556063,MI,7
219,1552328,CA,26
220,1546665,TN,5
221,1533461,PA,9
222,1518353,IN,5
223,1511174,IL,9
224,1499222,NM,2
225,1498491,NY,14
226,1497071,TX,20
227,1493728,CA,27
228,1488508,FL,15
229,1479377,SC,4
230,1473081,CT,3
231,1452051,AL,4
232,1439393,CA,28
233,1434171,NJ,7
234,1433225,GA,8
235,1423999,TX,21
236,1408733,WA,6
237,1396968,NC,8
238,1395019,NY,15
239,1392372,FL,16
240,1391686,OH,9
241,1388872,CA,29
242,1388286,NE,2
243,1383070,MD,5
244,1377481,MO,5
245,1371569,PA,10
246,1357730,TX,22
247,1351635,IL,10
248,1347590,MI,8
249,1345650,LA,4
250,1341778,CA,30
251,1337116,UT,3
252,1335425,VA,7
253,1318715,WI,5
254,1307905,FL,17
255,1307035,AZ,6
256,1304921,NY,16
257,1303294,IA,3
258,1302050,ID,2
259,1301735,KY,4
260,1297773,CA,31
261,1297355,TX,23
262,1292933,CO,5
263,1284130,MA,6
264,1276739,MN,5
265,1269288,WV,2
266,1269024,NV,3
267,1263986,GA,9
268,1262847,TN,6
269,1256563,CA,32
270,1244762,OH,10
271,1242123,TX,24
272,1242029,NJ,8
273,1240631,PA,11
274,1239730,IN,6
275,1233105,FL,18
276,1232010,NC,9
277,1230361,AR,3
278,1225760,NY,17
279,1224416,OR,4
280,1222600,IL,11
281,1217891,CA,33
282,1210013,MS,3
283,1200603,KS,3
284,1191403,TX,25
285,1190596,WA,7
286,1188463,MI,9
287,1181527,CA,34
288,1166401,FL,19
289,1156512,VA,8
290,1155658,NY,18
291,1147273,CA,35
292,1145920,SC,5
293,1144663,TX,26
294,1144169,OK,4
295,1132536,PA,12
296,1130543,GA,10
297,1129272,MD,6
298,1125929,OH,11
299,1124754,AL,5
300,1124708,MO,6
301,1116076,IL,12
302,1114949,CA,36
303,1106545,FL,20
304,1104646,AZ,7
305,1101943,NC,10
306,1101452,TX,27
307,1095367,NJ,9
308,1093143,NY,19
309,1085288,MA,7
310,1084396,CA,37
311,1076726,WI,6
312,1067300,TN,7
313,1062994,MI,10
314,1061386,TX,28
315,1055675,CO,6
316,1055474,CA,38
317,1052534,FL,21
318,1047763,IN,7
319,1042453,MN,6
320,1042336,LA,5
321,1041781,PA,13
322,1041626,CT,4
323,1037046,NY,20
324,1032473,HI,2
325,1031087,WA,8
326,1028054,CA,39
327,1027828,OH,12
328,1026641,IL,13
329,1024133,TX,29
330,1022615,GA,11
331,1019948,VA,9
332,1008320,KY,5
333,1003552,FL,22
334,1002023,CA,40
335,996745,NC,11
336,989406,TX,30
337,986428,NY,21
338,979726,NJ,10
339,977278,CA,41
340,975163,NH,2
341,964502,PA,14
342,964198,ME,2
343,961514,MI,11
344,958927,FL,23
345,956958,TX,31
346,956651,AZ,8
347,954409,MD,7
348,953726,CA,42
349,950552,MO,7
350,950485,IL,14
351,948428,OR,5
352,945484,UT,4
353,945465,OH,13
354,940522,NY,22
355,939887,MA,8
356,935640,SC,6
357,933515,GA,12
358,931282,CA,43
359,926570,TX,32
360,924309,TN,8
361,921568,IA,4
362,918358,AL,6
363,918103,FL,24
364,912269,VA,10
365,910000,WI,7
366,909899,NC,12
367,909871,CA,44
368,909333,WA,9
369,907389,IN,8
370,898700,NY,23
371,898054,TX,33
372,897903,PA,15
373,897336,NV,4
374,892208,CO,7
375,889421,CA,45
376,886269,OK,5
377,886195,NJ,11
378,884853,IL,15
379,881034,MN,7
380,880613,FL,25
381,877738,MI,12
382,875330,OH,14
383,871240,TX,34
384,869996,AR,4
385,869871,CA,46
386,865576,NM,3
387,860440,NY,24
388,858709,GA,13
389,855608,MS,4
390,851162,CA,47
391,851064,LA,6
392,848955,KS,4
393,846066,FL,26
394,845981,TX,35
395,843687,AZ,9
396,839911,PA,16
397,836986,NC,13
398,833241,CA,48
399,828902,MA,9
400,827704,IL,16
401,826543,MD,8
402,825305,NY,25
403,825178,VA,11
404,823289,KY,6
405,823202,MO,8
406,822146,TX,36
407,816059,CA,49
408,815164,TN,9
409,814888,OH,15
410,814127,FL,27
411,813332,WA,10
412,808982,NJ,12
413,807402,MI,13
414,806840,CT,5
