XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.365118,1,0.087378,686140.285714,9,2,0.008013,533664.666667
AK,1,0.445620,0,0.391241,721523.000000,1,0,0.391241,721523.000000
AZ,9,0.446445,4,0.051554,712522.222222,12,7,0.190442,534391.666667
AR,4,0.385534,0,0.271069,731557.250000,6,1,0.104402,487704.833333
CA,53,0.564408,39,0.107033,704565.830189,72,48,0.037850,518638.736111
CO,7,0.483533,3,0.038495,720704.285714,10,5,0.032934,504493.000000
CT,5,0.592890,5,0.314220,716325.600000,7,6,0.171363,511661.142857
DE,1,0.617144,1,0.265712,900877.000000,2,1,0.234288,450438.500000
FL,27,0.443091,10,0.015812,700028.629630,37,16,0.046250,510831.702703
GA,14,0.434272,4,0.082829,694826.142857,19,7,0.000122,511977.157895
HI,2,0.662196,2,0.175608,683431.000000,3,2,0.157725,455620.666667
ID,2,0.367869,0,0.235737,786749.500000,3,1,0.097596,524499.666667
IL,18,0.514235,10,0.027086,714687.777778,25,15,0.071531,514575.200000
IN,9,0.388967,2,0.055711,722398.000000,13,4,0.029759,500121.692308
IA,4,0.460782,1,0.171564,763446.750000,6,3,0.078436,508964.500000
KS,4,0.365523,0,0.231046,715953.250000,6,1,0.064379,477302.166667
KY,6,0.364186,1,0.061704,725101.000000,8,2,0.021629,543825.750000
LA,6,0.348676,1,0.030686,758993.666667,9,3,0.135980,505995.777778
ME,2,0.572351,1,0.144701,666537.000000,3,1,0.311368,444358.000000
MD,8,0.581379,7,0.212242,723741.125000,11,7,0.026394,526357.181818
MA,9,0.662413,9,0.175174,728849.333333,13,11,0.021327,504588.000000
MI,14,0.508755,5,0.160367,707973.285714,19,9,0.043826,521664.526316
MN,8,0.519013,5,0.086975,664359.875000,10,6,0.061975,531487.900000
MS,4,0.389664,1,0.029329,744560.000000,6,3,0.220671,496373.333333
MO,8,0.379915,2,0.009829,751434.750000,12,5,0.156838,500956.500000
MT,1,0.421743,0,0.343485,994416.000000,2,1,0.156515,497208.000000
NE,3,0.352122,1,0.129088,610608.333333,4,1,0.045755,457956.250000
NV,4,0.408087,1,0.066175,677358.000000,5,2,0.083825,541886.400000
NH,2,0.515724,1,0.031447,660722.500000,3,1,0.198114,440481.666667
NJ,12,0.510301,6,0.020602,733958.416667,17,11,0.126457,518088.294118
NM,3,0.529975,2,0.106717,689091.000000,4,2,0.059950,516818.250000
NY,27,0.575192,18,0.016282,719298.333333,38,23,0.045122,511080.394737
NC,13,0.456030,3,0.181291,735829.307692,18,6,0.078726,531432.277778
ND,1,0.409269,0,0.318537,675905.000000,1,0,0.318537,675905.000000
OH,16,0.412085,4,0.074169,723030.937500,22,8,0.039467,525840.681818
OK,5,0.280543,0,0.061085,752976.400000,7,2,0.224629,537840.285714
OR,5,0.571720,4,0.156559,769721.200000,7,5,0.070845,549800.857143
PA,18,0.444977,5,0.112175,707494.722222,25,9,0.029953,509396.200000
RI,2,0.611023,2,0.277954,527623.500000,2,2,0.277954,527623.500000
SC,7,0.396013,1,0.149168,663710.714286,9,2,0.069803,516219.444444
SD,1,0.334704,0,0.169407,819761.000000,2,1,0.330593,409880.500000
TN,9,0.369722,2,0.017222,708381.222222,12,3,0.010555,531285.916667
TX,36,0.405278,11,0.005000,701900.500000,49,16,0.015975,515682.000000
UT,4,0.343279,0,0.186557,692691.250000,5,1,0.013443,554153.000000
VT,1,0.674846,1,0.150308,630337.000000,1,1,0.150308,630337.000000
VA,11,0.452277,3,0.131826,730703.272727,16,6,0.029553,502358.500000
WA,10,0.531381,6,0.037238,675336.900000,13,8,0.052623,519489.923077
WV,3,0.429064,0,0.358128,619938.333333,4,1,0.108128,464953.750000
WI,8,0.472012,3,0.069024,712278.750000,11,6,0.101430,518020.909091
WY,1,0.250615,0,0.001230,568300.000000,1,0,0.001230,568300.000000
