XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,637304.285714,9,495681.111111,0.433989,2,0.148275,4,0.010455
AK,1,628933.000000,2,314466.500000,0.414254,0,0.414254,1,0.085746
AZ,8,642585.375000,11,467334.818182,0.473097,4,0.026903,5,0.018551
AR,4,669933.250000,6,446622.166667,0.598378,3,0.151622,4,0.068289
CA,53,640203.735849,72,471261.083333,0.576871,34,0.064639,42,0.006463
CO,7,615983.142857,9,479098.000000,0.555042,4,0.016386,5,0.000513
CT,5,681907.000000,7,487076.428571,0.607042,4,0.192958,4,0.035613
DE,1,785068.000000,2,392534.000000,0.404059,0,0.404059,1,0.095941
FL,25,641155.600000,34,471437.941176,0.484763,9,0.124763,16,0.014174
GA,13,631305.769231,17,482763.235294,0.439143,6,0.022395,7,0.027379
HI,2,608321.000000,3,405547.333333,0.650433,2,0.349567,2,0.016233
ID,2,648637.000000,3,432424.666667,0.416883,0,0.416883,1,0.083550
IL,19,654686.421053,26,478424.692308,0.568142,11,0.010805,15,0.008781
IN,9,676753.555556,13,468521.692308,0.494125,5,0.061431,6,0.032586
IA,5,586384.600000,6,488653.833333,0.485497,3,0.114503,3,0.014503
KS,4,673456.000000,6,448970.666667,0.445636,2,0.054364,3,0.054364
KY,6,674905.166667,9,449936.777778,0.469529,2,0.136196,4,0.025085
LA,7,640038.714286,9,497807.888889,0.376362,3,0.052209,3,0.043029
ME,2,638865.500000,3,425910.333333,0.682488,2,0.317512,2,0.015821
MD,8,663485.750000,11,482535.090909,0.615443,6,0.134557,7,0.020921
MA,10,635556.800000,13,488889.846154,0.705539,10,0.294461,10,0.063692
MI,15,663721.933333,21,474087.095238,0.526137,6,0.126137,11,0.002327
MN,8,615708.750000,10,492567.000000,0.554876,5,0.070124,6,0.045124
MS,4,713231.750000,6,475487.833333,0.507903,2,0.007903,3,0.007903
MO,9,622917.777778,12,467188.333333,0.486019,4,0.041574,6,0.013981
MT,1,905316.000000,2,452658.000000,0.399246,0,0.399246,1,0.100754
NE,3,571789.666667,4,428842.250000,0.439382,0,0.439382,1,0.189382
NV,3,667344.000000,4,500508.000000,0.525139,0,0.525139,1,0.275139
NH,2,619207.500000,3,412805.000000,0.524833,2,0.475167,2,0.141834
NJ,13,648027.230769,18,468019.666667,0.549604,7,0.011143,10,0.005951
NM,3,607940.333333,4,455955.250000,0.558310,1,0.224977,2,0.058310
NY,29,655343.896552,40,475124.325000,0.650654,23,0.142449,26,0.000654
NC,13,620590.230769,17,474569.000000,0.522963,7,0.015499,9,0.006449
ND,1,643756.000000,2,321878.000000,0.656802,1,0.343198,1,0.156802
OH,18,631918.888889,24,473939.166667,0.526738,7,0.137849,13,0.014928
OK,5,691763.800000,7,494117.000000,0.418546,1,0.218546,3,0.010026
OR,5,685708.600000,7,489791.857143,0.578726,4,0.221274,4,0.007297
PA,19,647403.684211,26,473102.692308,0.545852,11,0.033096,14,0.007390
RI,2,524831.000000,3,349887.333333,0.722089,2,0.277911,2,0.055423
SC,6,670843.500000,9,447229.000000,0.497687,2,0.164354,4,0.053243
SD,1,756874.000000,2,378437.000000,0.701936,1,0.298064,1,0.201936
TN,9,633337.444444,12,475003.083333,0.518464,5,0.037092,6,0.018464
TX,32,653249.812500,44,475090.772727,0.464986,12,0.089986,20,0.010440
UT,3,745571.333333,5,447342.800000,0.455515,1,0.122181,2,0.055515
VT,1,609890.000000,2,304945.000000,0.544370,1,0.455630,1,0.044370
VA,11,645518.363636,15,473380.133333,0.459661,3,0.186934,7,0.007006
WA,9,656520.444444,13,454514.153846,0.609223,6,0.057443,8,0.006161
WV,3,604359.000000,4,453269.250000,0.580192,2,0.086475,2,0.080192
WI,8,671401.250000,11,488291.818182,0.511595,5,0.113405,6,0.033859
WY,1,495304.000000,2,247652.000000,0.497275,0,0.497275,1,0.002725
