XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.391464,1,0.248607,686140.285714,9,2,0.169242,533664.666667
AK,1,0.466937,0,0.466937,721523.000000,1,0,0.466937,721523.000000
AZ,9,0.507527,5,0.048028,712522.222222,12,7,0.075806,534391.666667
AR,4,0.360027,0,0.360027,731557.250000,6,2,0.026694,487704.833333
CA,53,0.639639,46,0.228285,704565.830189,72,60,0.193694,518638.736111
CO,7,0.554363,4,0.017066,720704.285714,10,6,0.045637,504493.000000
CT,5,0.612083,5,0.387917,716325.600000,7,5,0.102202,511661.142857
DE,1,0.644540,1,0.355460,900877.000000,2,1,0.144540,450438.500000
FL,27,0.468485,13,0.012996,700028.629630,37,19,0.045028,510831.702703
GA,14,0.474301,5,0.117158,694826.142857,19,8,0.053248,511977.157895
HI,2,0.767239,2,0.232761,683431.000000,3,2,0.100572,455620.666667
ID,2,0.360341,0,0.360341,786749.500000,3,0,0.360341,524499.666667
IL,18,0.611158,13,0.111064,714687.777778,25,15,0.011158,514575.200000
IN,9,0.444870,2,0.222648,722398.000000,13,6,0.016669,500121.692308
IA,4,0.520492,3,0.229508,763446.750000,6,5,0.312841,508964.500000
KS,4,0.451921,1,0.201921,715953.250000,6,1,0.285254,477302.166667
KY,6,0.395908,1,0.229241,725101.000000,8,1,0.270908,543825.750000
LA,6,0.376212,1,0.209545,758993.666667,9,3,0.042878,505995.777778
ME,2,0.578750,2,0.421250,666537.000000,3,2,0.087917,444358.000000
MD,8,0.669242,7,0.205758,723741.125000,11,8,0.058031,526357.181818
MA,9,0.684156,9,0.315844,728849.333333,13,11,0.161998,504588.000000
MI,14,0.532477,7,0.032477,707973.285714,19,8,0.111424,521664.526316
MN,8,0.557973,5,0.067027,664359.875000,10,5,0.057973,531487.900000
MS,4,0.428623,1,0.178623,744560.000000,6,2,0.095290,496373.333333
MO,8,0.435775,2,0.185775,751434.750000,12,5,0.019108,500956.500000
MT,1,0.476143,0,0.476143,994416.000000,2,0,0.476143,497208.000000
NE,3,0.379708,0,0.379708,610608.333333,4,1,0.129708,457956.250000
NV,4,0.527683,3,0.222317,677358.000000,5,4,0.272317,541886.400000
NH,2,0.555563,2,0.444437,660722.500000,3,3,0.444437,440481.666667
NJ,12,0.607701,11,0.308966,733958.416667,17,12,0.098182,518088.294118
NM,3,0.604172,3,0.395828,689091.000000,4,3,0.145828,516818.250000
NY,27,0.651326,21,0.126452,719298.333333,38,25,0.006569,511080.394737
NC,13,0.488968,3,0.258198,735829.307692,18,6,0.155634,531432.277778
ND,1,0.371420,0,0.371420,675905.000000,1,0,0.371420,675905.000000
OH,16,0.476149,4,0.226149,723030.937500,22,8,0.112513,525840.681818
OK,5,0.369679,1,0.169679,752976.400000,7,3,0.058892,537840.285714
OR,5,0.601727,4,0.198273,769721.200000,7,4,0.030298,549800.857143
PA,18,0.540573,9,0.040573,707494.722222,25,13,0.020573,509396.200000
RI,2,0.651360,2,0.348640,527623.500000,2,2,0.348640,527623.500000
SC,7,0.449831,2,0.164116,663710.714286,9,2,0.227609,516219.444444
SD,1,0.373873,0,0.373873,819761.000000,2,1,0.126127,409880.500000
TN,9,0.398122,2,0.175900,708381.222222,12,4,0.064789,531285.916667
TX,36,0.472325,13,0.111214,701900.500000,49,19,0.084570,515682.000000
UT,4,0.377285,1,0.127285,692691.250000,5,2,0.022715,554153.000000
VT,1,0.727273,1,0.272727,630337.000000,1,1,0.272727,630337.000000
VA,11,0.556627,7,0.079737,730703.272727,16,10,0.068373,502358.500000
WA,10,0.633668,7,0.066332,675336.900000,13,7,0.095207,519489.923077
WV,3,0.410289,0,0.410289,619938.333333,4,0,0.410289,464953.750000
WI,8,0.511607,3,0.136607,712278.750000,11,6,0.033847,518020.909091
WY,1,0.318860,0,0.318860,568300.000000,1,0,0.318860,568300.000000
