XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.314202,1,0.171344,637304.285714,10,2,0.114202,446113.000000
AK,1,0.306755,0,0.306755,628933.000000,1,0,0.306755,628933.000000
AZ,8,0.441491,3,0.066491,642585.375000,11,5,0.013054,467334.818182
AR,4,0.422055,1,0.172055,669933.250000,6,2,0.088722,446622.166667
CA,53,0.551011,34,0.090498,640203.735849,72,44,0.060100,471261.083333
CO,7,0.475331,3,0.046759,615983.142857,9,5,0.080225,479098.000000
CT,5,0.580962,5,0.419038,681907.000000,7,6,0.276181,487076.428571
DE,1,0.580440,1,0.419560,785068.000000,2,2,0.419560,392534.000000
FL,25,0.381570,6,0.141570,641155.600000,34,11,0.058041,471437.941176
GA,13,0.380940,5,0.003675,631305.769231,17,8,0.089648,482763.235294
HI,2,0.636832,2,0.363168,608321.000000,3,2,0.029835,405547.333333
ID,2,0.363942,0,0.363942,648637.000000,3,1,0.030608,432424.666667
IL,19,0.521730,8,0.100678,654686.421053,26,12,0.060192,478424.692308
IN,9,0.411263,3,0.077930,676753.555556,13,5,0.026648,468521.692308
IA,5,0.445446,3,0.154554,586384.600000,6,4,0.221220,488653.833333
KS,4,0.342401,0,0.342401,673456.000000,6,0,0.342401,448970.666667
KY,6,0.374860,2,0.041527,674905.166667,9,4,0.069584,449936.777778
LA,7,0.315446,1,0.172589,640038.714286,10,2,0.115446,448027.100000
ME,2,0.560236,2,0.439764,638865.500000,3,2,0.106430,425910.333333
MD,8,0.620848,6,0.129152,663485.750000,11,6,0.075394,482535.090909
MA,10,0.623000,10,0.377000,635556.800000,14,12,0.234143,453969.142857
MI,15,0.458455,6,0.058455,663721.933333,21,8,0.077502,474087.095238
MN,8,0.507929,4,0.007929,615708.750000,11,6,0.037525,447788.181818
MS,4,0.452934,1,0.202934,713231.750000,6,3,0.047066,475487.833333
MO,9,0.390903,3,0.057570,622917.777778,12,4,0.057570,467188.333333
MT,1,0.359058,0,0.359058,905316.000000,2,1,0.140942,452658.000000
NE,3,0.295427,0,0.295427,571789.666667,4,0,0.295427,428842.250000
NV,3,0.470724,1,0.137391,667344.000000,4,1,0.220724,500508.000000
NH,2,0.465529,0,0.465529,619207.500000,3,0,0.465529,412805.000000
NJ,13,0.492652,7,0.045810,648027.230769,18,12,0.174015,468019.666667
NM,3,0.515822,2,0.150844,607940.333333,4,3,0.234178,455955.250000
NY,29,0.609276,21,0.114862,655343.896552,40,26,0.040724,475124.325000
NC,13,0.455344,7,0.083117,620590.230769,17,7,0.043580,474569.000000
ND,1,0.450792,0,0.450792,643756.000000,1,0,0.450792,643756.000000
OH,18,0.439692,5,0.161914,631918.888889,24,9,0.064692,473939.166667
OK,5,0.299336,1,0.099336,691763.800000,7,2,0.013622,494117.000000
OR,5,0.527461,4,0.272539,685708.600000,7,5,0.186825,489791.857143
PA,19,0.480601,7,0.112180,647403.684211,26,11,0.057525,473102.692308
RI,2,0.593967,2,0.406033,524831.000000,2,2,0.406033,524831.000000
SC,6,0.416125,1,0.249458,670843.500000,9,3,0.082791,447229.000000
SD,1,0.488155,0,0.488155,756874.000000,2,0,0.488155,378437.000000
TN,9,0.361837,2,0.139615,633337.444444,12,3,0.111837,475003.083333
TX,32,0.321658,9,0.040408,653249.812500,45,16,0.033897,464533.200000
UT,3,0.358231,1,0.024897,745571.333333,5,2,0.041769,447342.800000
VT,1,0.668403,1,0.331597,609890.000000,1,1,0.331597,609890.000000
VA,11,0.434441,3,0.161714,645518.363636,15,4,0.167774,473380.133333
WA,9,0.533174,5,0.022382,656520.444444,13,9,0.159134,454514.153846
WV,3,0.445955,1,0.112621,604359.000000,4,2,0.054045,453269.250000
WI,8,0.446050,3,0.071050,671401.250000,11,4,0.082413,488291.818182
WY,1,0.257951,0,0.257951,495304.000000,1,0,0.257951,495304.000000
