XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.359862,1,0.217005,686140.285714,9,2,0.137640,533664.666667
AK,1,0.309172,0,0.309172,721523.000000,1,0,0.309172,721523.000000
AZ,9,0.455580,5,0.099976,712522.222222,12,7,0.127754,534391.666667
AR,4,0.323411,0,0.323411,731557.250000,6,2,0.009922,487704.833333
CA,53,0.620052,38,0.096929,704565.830189,72,52,0.102170,518638.736111
CO,7,0.485691,3,0.057120,720704.285714,10,5,0.014309,504493.000000
CT,5,0.643209,5,0.356791,716325.600000,7,6,0.213934,511661.142857
DE,1,0.658255,1,0.341745,900877.000000,2,2,0.341745,450438.500000
FL,27,0.469932,10,0.099561,700028.629630,37,17,0.010472,510831.702703
GA,14,0.407791,5,0.050648,694826.142857,19,9,0.065893,511977.157895
HI,2,0.674513,2,0.325487,683431.000000,3,2,0.007846,455620.666667
ID,2,0.338633,0,0.338633,786749.500000,3,1,0.005300,524499.666667
IL,18,0.554113,12,0.112554,714687.777778,25,15,0.045887,514575.200000
IN,9,0.458063,2,0.235841,722398.000000,13,6,0.003475,500121.692308
IA,4,0.515305,2,0.015305,763446.750000,6,4,0.151361,508964.500000
KS,4,0.208764,0,0.208764,715953.250000,6,1,0.042098,477302.166667
KY,6,0.399891,1,0.233224,725101.000000,8,3,0.024891,543825.750000
LA,6,0.239107,1,0.072440,758993.666667,9,3,0.094227,505995.777778
ME,2,0.616631,2,0.383369,666537.000000,3,3,0.383369,444358.000000
MD,8,0.654604,7,0.220396,723741.125000,11,7,0.018240,526357.181818
MA,9,0.748892,9,0.251108,728849.333333,13,11,0.097262,504588.000000
MI,14,0.527315,5,0.170172,707973.285714,19,8,0.106262,521664.526316
MN,8,0.563249,5,0.061751,664359.875000,10,6,0.036751,531487.900000
MS,4,0.368956,1,0.118956,744560.000000,6,2,0.035623,496373.333333
MO,8,0.433408,2,0.183408,751434.750000,12,5,0.016742,500956.500000
MT,1,0.445126,0,0.445126,994416.000000,2,1,0.054874,497208.000000
NE,3,0.357584,0,0.357584,610608.333333,4,0,0.357584,457956.250000
NV,4,0.497843,2,0.002157,677358.000000,5,2,0.097843,541886.400000
NH,2,0.522442,2,0.477558,660722.500000,3,3,0.477558,440481.666667
NJ,12,0.556437,6,0.056437,733958.416667,17,8,0.085849,518088.294118
NM,3,0.551551,2,0.115116,689091.000000,4,2,0.051551,516818.250000
NY,27,0.692232,21,0.085546,719298.333333,38,25,0.034338,511080.394737
NC,13,0.509320,4,0.201628,735829.307692,18,7,0.120431,531432.277778
ND,1,0.431717,0,0.431717,675905.000000,1,0,0.431717,675905.000000
OH,16,0.479350,4,0.229350,723030.937500,22,8,0.115714,525840.681818
OK,5,0.323805,0,0.323805,752976.400000,7,1,0.180948,537840.285714
OR,5,0.609137,4,0.190863,769721.200000,7,4,0.037708,549800.857143
PA,18,0.507583,5,0.229805,707494.722222,25,10,0.107583,509396.200000
RI,2,0.589650,2,0.410350,527623.500000,2,2,0.410350,527623.500000
SC,7,0.410379,1,0.267522,663710.714286,9,2,0.188157,516219.444444
SD,1,0.425503,0,0.425503,819761.000000,2,0,0.425503,409880.500000
TN,9,0.367722,2,0.145500,708381.222222,12,4,0.034388,531285.916667
TX,36,0.399760,12,0.066427,701900.500000,49,22,0.049219,515682.000000
UT,4,0.333589,1,0.083589,692691.250000,5,2,0.066411,554153.000000
VT,1,0.755406,1,0.244594,630337.000000,1,1,0.244594,630337.000000
VA,11,0.490396,3,0.217669,730703.272727,16,8,0.009604,502358.500000
WA,10,0.544438,6,0.055562,675336.900000,13,8,0.070946,519489.923077
WV,3,0.400872,1,0.067539,619938.333333,4,1,0.150872,464953.750000
WI,8,0.507555,3,0.132555,712278.750000,11,5,0.053010,518020.909091
WY,1,0.256994,0,0.256994,568300.000000,1,0,0.256994,568300.000000
