XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,718579.000000,10,503005.300000,0.320694,1,0.177836,3,0.020694
AK,1,736081.000000,2,368040.500000,0.549637,1,0.450363,1,0.049637
AZ,9,795435.888889,14,511351.642857,0.434037,3,0.100704,6,0.005465
AR,4,753439.000000,6,502292.666667,0.312463,0,0.312463,2,0.020871
CA,52,761091.480769,77,513983.857143,0.607018,40,0.162213,47,0.003372
CO,8,722771.375000,11,525651.909091,0.565069,5,0.059931,6,0.019615
CT,5,721659.600000,7,515471.142857,0.578193,5,0.421807,5,0.136093
DE,1,990837.000000,2,495418.500000,0.563507,1,0.436493,1,0.063507
FL,28,770375.964286,42,513583.976190,0.413812,8,0.128097,17,0.009050
GA,14,766091.000000,21,510727.333333,0.476940,5,0.119798,10,0.000750
HI,2,730068.500000,3,486712.333333,0.686674,2,0.313326,2,0.020007
ID,2,920688.500000,4,460344.250000,0.314041,0,0.314041,1,0.064041
IL,17,754278.764706,25,512909.560000,0.552486,14,0.271043,14,0.007514
IN,9,754475.555556,13,522329.230769,0.392557,2,0.170335,5,0.007942
IA,4,798101.500000,6,532067.666667,0.437144,0,0.437144,2,0.103811
KS,4,735216.250000,6,490144.166667,0.427507,1,0.177507,3,0.072493
KY,6,751557.000000,9,501038.000000,0.339922,1,0.173255,3,0.006589
LA,6,776911.333333,9,517940.888889,0.337518,1,0.170851,3,0.004184
ME,2,681791.000000,3,454527.333333,0.582905,2,0.417095,2,0.083761
MD,8,773159.750000,12,515439.833333,0.651617,7,0.223383,8,0.015049
MA,9,781496.555556,14,502390.642857,0.673496,9,0.326504,9,0.030639
MI,13,775726.307692,20,504222.100000,0.511849,7,0.026612,10,0.011849
MN,8,713719.000000,11,519068.363636,0.510130,4,0.010130,6,0.035325
MS,4,740978.500000,6,493985.666667,0.356047,1,0.106047,2,0.022713
MO,8,770035.125000,12,513356.750000,0.393689,2,0.143689,5,0.022978
MT,2,542703.500000,3,361802.333333,0.393102,0,0.393102,1,0.059769
NE,3,654444.333333,4,490833.250000,0.362323,0,0.362323,1,0.112323
NV,4,777115.500000,6,518077.000000,0.482555,3,0.267445,3,0.017445
NH,2,689544.500000,3,459696.333333,0.549623,2,0.450377,2,0.117043
NJ,12,774541.083333,18,516360.722222,0.548510,9,0.201490,10,0.007045
NM,3,706740.000000,4,530055.000000,0.550647,3,0.449353,3,0.199353
NY,26,777528.884615,39,518352.589744,0.552072,15,0.024851,22,0.012030
NC,14,746710.571429,20,522697.400000,0.478447,7,0.021553,10,0.021553
ND,1,779702.000000,2,389851.000000,0.349176,0,0.349176,1,0.150824
OH,15,787256.533333,23,513428.173913,0.435714,5,0.102381,10,0.000932
OK,5,792703.200000,8,495439.500000,0.319416,0,0.319416,3,0.055584
OR,6,706916.666667,8,530187.500000,0.543099,4,0.123568,4,0.043099
PA,17,765402.588235,25,520473.760000,0.485059,9,0.044353,12,0.005059
RI,2,549081.500000,3,366054.333333,0.573522,2,0.426478,2,0.093145
SC,7,732101.714286,10,512471.200000,0.387561,1,0.244704,4,0.012439
SD,1,887770.000000,2,443885.000000,0.299999,0,0.299999,1,0.200001
TN,9,768544.111111,13,532069.000000,0.346098,1,0.234987,4,0.038406
TX,38,767981.315789,57,511987.543860,0.429494,13,0.087389,24,0.008441
UT,4,818813.000000,6,545875.333333,0.337687,0,0.337687,2,0.004354
VT,1,643503.000000,2,321751.500000,0.692429,1,0.307571,1,0.192429
VA,11,786776.545455,17,509090.705882,0.518167,6,0.027288,9,0.011245
WA,10,771594.600000,15,514396.400000,0.581237,8,0.218763,9,0.018763
WV,2,897522.500000,4,448761.250000,0.324242,0,0.324242,1,0.074242
WI,8,737184.125000,12,491456.083333,0.444079,2,0.194079,5,0.027412
WY,1,577719.000000,2,288859.500000,0.263296,0,0.263296,1,0.236704
