XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,637304.285714,10,446113.000000,0.432538,2,0.146823,4,0.032538
AK,1,628933.000000,2,314466.500000,0.472837,0,0.472837,1,0.027163
AZ,8,642585.375000,12,428390.250000,0.508066,5,0.116934,6,0.008066
AR,4,669933.250000,6,446622.166667,0.595133,3,0.154867,4,0.071533
CA,53,640203.735849,79,429503.772152,0.606918,34,0.034591,48,0.000677
CO,7,615983.142857,10,431188.200000,0.559738,5,0.154548,6,0.040262
CT,5,681907.000000,8,426191.875000,0.642895,5,0.357105,5,0.017895
DE,1,785068.000000,2,392534.000000,0.383465,0,0.383465,1,0.116535
FL,25,641155.600000,37,433213.243243,0.489397,10,0.089397,18,0.002910
GA,13,631305.769231,19,431946.052632,0.482620,6,0.021081,9,0.008935
HI,2,608321.000000,3,405547.333333,0.794930,2,0.205070,2,0.128263
ID,2,648637.000000,3,432424.666667,0.407658,1,0.092342,1,0.074325
IL,19,654686.421053,29,428932.482759,0.607064,12,0.024515,18,0.013626
IN,9,676753.555556,14,435055.857143,0.528214,5,0.027341,7,0.028214
IA,5,586384.600000,7,418846.142857,0.520998,3,0.079002,4,0.050430
KS,4,673456.000000,6,448970.666667,0.405187,1,0.155187,2,0.071853
KY,6,674905.166667,9,449936.777778,0.462079,2,0.128746,4,0.017634
LA,7,640038.714286,10,448027.100000,0.430617,1,0.287760,4,0.030617
ME,2,638865.500000,3,425910.333333,0.608228,2,0.391772,2,0.058439
MD,8,663485.750000,12,442323.833333,0.687474,7,0.187526,8,0.020808
MA,10,635556.800000,15,423704.533333,0.710668,10,0.289332,11,0.022665
MI,15,663721.933333,23,432862.130435,0.532238,8,0.001096,12,0.010498
MN,8,615708.750000,11,447788.181818,0.601336,5,0.023664,7,0.035027
MS,4,713231.750000,7,407561.000000,0.581197,3,0.168803,4,0.009768
MO,9,622917.777778,13,431250.769231,0.499300,4,0.054856,6,0.037762
MT,1,905316.000000,2,452658.000000,0.335767,0,0.335767,1,0.164233
NE,3,571789.666667,4,428842.250000,0.341612,0,0.341612,1,0.091612
NV,3,667344.000000,5,400406.400000,0.543867,2,0.122800,3,0.056133
NH,2,619207.500000,3,412805.000000,0.553241,2,0.446759,2,0.113425
NJ,13,648027.230769,20,421217.700000,0.555948,8,0.059437,11,0.005948
NM,3,607940.333333,4,455955.250000,0.587413,3,0.412587,3,0.162587
NY,29,655343.896552,44,431931.204545,0.676562,26,0.219990,30,0.005257
NC,13,620590.230769,19,424614.368421,0.546771,8,0.068614,10,0.020455
ND,1,643756.000000,2,321878.000000,0.619741,1,0.380259,1,0.119741
OH,18,631918.888889,26,437482.307692,0.524851,10,0.030705,14,0.013611
OK,5,691763.800000,8,432352.375000,0.385573,1,0.185573,3,0.010573
OR,5,685708.600000,8,428567.875000,0.612458,4,0.187542,5,0.012542
PA,19,647403.684211,29,424161.034483,0.550101,12,0.081478,16,0.001623
RI,2,524831.000000,2,524831.000000,0.718843,2,0.281157,2,0.281157
SC,6,670843.500000,9,447229.000000,0.494575,2,0.161241,4,0.050130
SD,1,756874.000000,2,378437.000000,0.675557,1,0.324443,1,0.175557
TN,9,633337.444444,13,438464.384615,0.495456,5,0.060100,6,0.033917
TX,32,653249.812500,48,435499.875000,0.448533,12,0.073533,22,0.009801
UT,3,745571.333333,5,447342.800000,0.438644,2,0.228023,2,0.038644
VT,1,609890.000000,1,609890.000000,0.699999,1,0.300001,1,0.300001
VA,11,645518.363636,16,443793.875000,0.511812,6,0.033643,8,0.011812
WA,9,656520.444444,14,422048.857143,0.591984,6,0.074682,8,0.020556
WV,3,604359.000000,4,453269.250000,0.595250,2,0.071416,2,0.095250
WI,8,671401.250000,12,447600.833333,0.525512,5,0.099488,6,0.025512
WY,1,495304.000000,1,495304.000000,0.448559,0,0.448559,0,0.448559
