HOUSE SEAT,PRIORITY VALUE,STATE,STATE SEAT
51,23992697,CA,2
52,14781356,TX,2
53,13852190,CA,3
54,13438545,NY,2
55,11334137,FL,2
56,9794978,CA,4
57,8795731,IL,2
58,8697887,PA,2
59,8534020,TX,3
60,8043014,OH,2
61,7758748,NY,3
62,7587157,CA,5
63,7039834,MI,2
64,6543767,FL,3
65,6194888,CA,6
66,6034463,TX,4
67,5956918,NJ,2
68,5803208,GA,2
69,5704706,NC,2
70,5486263,NY,4
71,5235636,CA,7
72,5078218,IL,3
73,5021727,PA,3
74,5020955,VA,2
75,4674275,TX,5
76,4643637,OH,3
77,4627142,FL,4
78,4534194,CA,8
79,4494065,MA,2
80,4306833,IN,2
81,4249641,NY,5
82,4178071,WA,2
83,4064450,MI,3
84,4030535,TN,2
85,3998783,CA,9
86,3964224,MO,2
87,3816530,TX,6
88,3798019,WI,2
89,3753242,MD,2
90,3635012,AZ,2
91,3590842,IL,4
92,3584169,FL,5
93,3576620,CA,10
94,3550898,PA,4
95,3482975,MN,2
96,3469817,NY,6
97,3439228,NJ,3
98,3350484,GA,3
99,3293614,NC,3
100,3283547,OH,4
101,3235175,CA,11
102,3225556,TX,7
103,3168030,LA,2
104,3154495,AL,2
105,3048961,CO,2
106,2953297,CA,12
107,2932531,NY,7
108,2926462,FL,6
109,2898849,VA,3
110,2874000,MI,4
111,2863380,KY,2
112,2846148,SC,2
113,2793414,TX,8
114,2781454,IL,5
115,2750513,PA,5
116,2716638,CA,13
117,2594650,MA,3
118,2543424,OH,5
119,2539646,NY,8
120,2515118,CA,14
121,2486551,IN,3
122,2473311,FL,7
123,2463559,TX,9
124,2445754,OK,2
125,2431902,NJ,4
126,2424346,OR,2
127,2412210,WA,3
128,2410905,CT,2
129,2369150,GA,4
130,2341448,CA,15
131,2328937,NC,4
132,2327030,TN,3
133,2288746,MO,3
134,2271048,IL,6
135,2245785,PA,6
136,2239758,NY,9
137,2226191,MI,5
138,2203474,TX,10
139,2192787,WI,3
140,2190224,CA,16
141,2166935,MD,3
142,2141951,FL,8
143,2098675,AZ,3
144,2076697,OH,6
145,2073183,IA,2
146,2057357,CA,17
147,2049796,VA,4
148,2017324,MS,2
149,2010896,MN,3
150,2003300,NY,10
151,1993118,TX,11
152,1939695,CA,18
153,1919386,IL,7
154,1904821,KS,2
155,1898035,PA,7
156,1894857,AR,2
157,1889023,FL,9
158,1883743,NJ,5
159,1835135,GA,5
160,1834767,CA,19
161,1834694,MA,4
162,1829063,LA,3
163,1821249,AL,3
164,1819459,TX,12
165,1817677,MI,6
166,1812053,NY,11
167,1803987,NC,5
168,1760318,CO,3
169,1758257,IN,4
170,1755130,OH,7
171,1740613,CA,20
172,1705690,WA,4
173,1689593,FL,10
174,1673659,TX,13
175,1662237,IL,8
176,1655653,CA,21
177,1654171,NY,12
178,1653173,KY,3
179,1645459,TN,4
180,1643746,PA,8
181,1643224,SC,3
182,1618388,MO,4
183,1587765,VA,5
184,1581596,UT,2
185,1578604,CA,22
186,1550535,WI,4
187,1549507,TX,14
188,1538070,NJ,6
189,1536218,MI,7
190,1532255,MD,4
191,1528295,FL,11
192,1521616,NY,13
193,1519987,OH,8
194,1508408,CA,23
195,1498382,GA,6
196,1483987,AZ,4
197,1472949,NC,6
198,1465955,IL,9
199,1449648,PA,9
200,1444191,CA,24
201,1442513,TX,15
202,1421918,MN,4
203,1421148,MA,5
204,1415650,NV,2
205,1412057,OK,3
206,1408742,NY,14
207,1399697,OR,3
208,1395136,FL,12
209,1391937,CT,3
210,1385219,CA,25
211,1361940,IN,5
212,1349347,TX,16
213,1340502,OH,9
